Iteration,Action,U,V,OldDist,NewDist
1,Relax,41,1,2147483647,1
1,Relax,41,386,2147483647,15
1,Relax,41,259,2147483647,5
1,Relax,41,132,2147483647,5
1,Relax,41,7,2147483647,11
1,Relax,41,8,2147483647,1
1,Relax,41,270,2147483647,20
1,Relax,41,15,2147483647,14
1,Relax,41,271,2147483647,1
1,Relax,41,400,2147483647,4
1,Relax,41,403,2147483647,12
1,Relax,41,148,2147483647,2
1,Relax,41,151,2147483647,13
1,Relax,41,407,2147483647,13
1,Relax,41,152,2147483647,10
1,Relax,41,30,2147483647,6
1,Relax,41,414,2147483647,12
1,Relax,41,415,2147483647,13
1,Relax,41,33,2147483647,6
1,Relax,41,421,2147483647,5
1,Relax,41,165,2147483647,18
1,Relax,41,166,2147483647,18
1,Relax,41,170,2147483647,7
1,Relax,41,173,2147483647,14
1,Relax,41,431,2147483647,18
1,Relax,41,176,2147483647,7
1,Relax,41,49,2147483647,5
1,Relax,41,305,2147483647,17
1,Relax,41,433,2147483647,2
1,Relax,41,51,2147483647,5
1,Relax,41,54,2147483647,5
1,Relax,41,438,2147483647,19
1,Relax,41,185,2147483647,13
1,Relax,41,443,2147483647,5
1,Relax,41,61,2147483647,1
1,Relax,41,317,2147483647,16
1,Relax,41,192,2147483647,15
1,Relax,41,320,2147483647,1
1,Relax,41,448,2147483647,19
1,Relax,41,451,2147483647,14
1,Relax,41,453,2147483647,8
1,Relax,41,70,2147483647,10
1,Relax,41,326,2147483647,2
1,Relax,41,455,2147483647,20
1,Relax,41,72,2147483647,18
1,Relax,41,328,2147483647,6
1,Relax,41,331,2147483647,10
1,Relax,41,462,2147483647,11
1,Relax,41,80,2147483647,1
1,Relax,41,466,2147483647,3
1,Relax,41,468,2147483647,10
1,Relax,41,86,2147483647,12
1,Relax,41,215,2147483647,20
1,Relax,41,90,2147483647,18
1,Relax,41,474,2147483647,11
1,Relax,41,475,2147483647,6
1,Relax,41,477,2147483647,9
1,Relax,41,349,2147483647,16
1,Relax,41,228,2147483647,11
1,Relax,41,356,2147483647,10
1,Relax,41,101,2147483647,8
1,Relax,41,104,2147483647,14
1,Relax,41,360,2147483647,10
1,Relax,41,488,2147483647,18
1,Relax,41,234,2147483647,3
