Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,57,,,,,,0
1,Relax,57,49,2147483647,12,9,21,1
2,Relax,57,2,2147483647,3,56,59,2
3,Relax,57,83,2147483647,1,25,26,3
4,Relax,57,99,2147483647,7,41,48,4
5,Relax,57,4,2147483647,18,54,72,5
6,Relax,57,36,2147483647,2,22,24,6
7,Relax,57,85,2147483647,20,27,47,7
8,Relax,57,54,2147483647,10,4,14,8
9,Relax,57,94,2147483647,17,36,53,9
10,Relax,57,47,2147483647,2,11,13,10
11,Pop,47,,,,,,9
12,Relax,47,32,2147483647,20,26,46,10
13,Relax,47,48,2147483647,11,10,21,11
14,Relax,47,81,2147483647,18,23,41,12
15,Relax,47,5,2147483647,22,53,75,13
16,Relax,47,39,2147483647,16,19,35,14
17,Relax,47,8,2147483647,13,50,63,15
18,Relax,47,45,2147483647,15,13,28,16
19,Relax,47,77,2147483647,18,19,37,17
20,Relax,47,79,2147483647,9,21,30,18
21,Pop,54,,,,,,17
22,Relax,54,96,2147483647,18,38,56,18
23,Relax,54,35,2147483647,13,23,36,19
24,Relax,54,37,2147483647,18,21,39,20
25,Relax,54,70,2147483647,25,12,37,21
26,Relax,54,10,2147483647,26,48,74,22
27,Relax,54,76,2147483647,30,18,48,23
28,Relax,54,51,2147483647,27,7,34,24
29,Relax,54,21,2147483647,16,37,53,25
30,Pop,49,,,,,,24
31,Relax,49,17,2147483647,18,41,59,25
32,Relax,49,65,2147483647,23,7,30,26
33,Relax,49,18,2147483647,16,40,56,27
34,Relax,49,86,2147483647,19,28,47,28
35,Relax,49,56,2147483647,24,2,26,29
36,Relax,49,41,2147483647,24,17,41,30
37,Relax,49,26,2147483647,13,32,45,31
38,Relax,49,91,2147483647,27,33,60,32
39,Pop,48,,,,,,31
40,Relax,48,16,2147483647,22,42,64,32
41,Relax,48,18,16,14,40,54,33
42,Relax,48,50,2147483647,27,8,35,34
43,Relax,48,23,2147483647,27,35,62,35
44,Relax,48,24,2147483647,20,34,54,36
45,Relax,48,42,2147483647,26,16,42,37
46,Relax,48,58,2147483647,30,0,30,38
47,Relax,48,28,2147483647,27,30,57,39
48,Relax,48,61,2147483647,18,3,21,40
49,Pop,61,,,,,,39
50,Relax,61,3,2147483647,37,55,92,40
51,Relax,61,38,2147483647,25,20,45,41
52,Relax,61,72,2147483647,25,14,39,42
53,Relax,61,44,2147483647,30,14,44,43
54,Relax,61,93,2147483647,28,35,63,44
55,Relax,61,14,2147483647,21,44,65,45
56,Relax,61,31,2147483647,22,27,49,46
57,Pop,36,,,,,,45
58,Relax,36,52,2147483647,11,6,17,46
59,Relax,36,12,2147483647,8,46,54,47
60,Relax,36,44,30,11,14,25,48
61,Relax,36,60,2147483647,7,2,9,49
62,Relax,36,29,2147483647,10,29,39,50
63,Relax,36,46,2147483647,7,12,19,51
64,Relax,36,63,2147483647,19,5,24,52
65,Pop,60,,,,,,51
66,Relax,60,97,2147483647,9,39,48,52
67,Relax,60,50,27,25,8,33,53
68,Relax,60,23,27,14,35,49,54
69,Relax,60,9,2147483647,18,49,67,55
70,Relax,60,43,2147483647,16,15,31,56
71,Pop,52,,,,,,55
72,Relax,52,1,2147483647,19,57,76,56
73,Relax,52,33,2147483647,20,25,45,57
74,Relax,52,50,25,16,8,24,58
75,Relax,52,19,2147483647,21,39,60,59
76,Relax,52,73,2147483647,13,15,28,60
77,Relax,52,90,2147483647,16,32,48,61
78,Relax,52,76,30,23,18,41,62
79,Relax,52,92,2147483647,25,34,59,63
80,Relax,52,30,2147483647,26,28,54,64
81,Pop,46,,,,,,63
82,Relax,46,81,18,8,23,31,64
83,Relax,46,66,2147483647,23,8,31,65
84,Relax,46,53,2147483647,9,5,14,66
85,Relax,46,85,20,13,27,40,67
86,Pop,53,,,,,,66
87,Relax,53,3,37,17,55,72,67
88,Relax,53,69,2147483647,15,11,26,68
89,Relax,53,42,26,16,16,32,69
90,Relax,53,78,2147483647,28,20,48,70
91,Pop,63,,,,,,69
92,Relax,63,59,2147483647,28,1,29,70
93,Pop,50,,,,,,69
94,Relax,50,58,30,19,0,19,70
95,Pop,58,,,,,,69
96,ReachedGoal,58,,,,,,69
