Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,4,0,1
2,ColorAssign,0,7,0,1
3,ColorAssign,0,27,0,1
4,ColorAssign,0,33,0,1
5,ColorAssign,0,77,0,1
6,ColorAssign,0,80,0,1
7,ColorAssign,0,81,0,1
8,ColorAssign,0,89,0,1
9,ColorAssign,0,2,0,1
10,ColorAssign,0,12,0,1
11,ColorAssign,0,31,0,1
12,ColorAssign,0,45,0,1
13,ColorAssign,0,46,0,1
14,ColorAssign,0,47,0,1
15,ColorAssign,0,53,0,1
16,ColorAssign,0,72,0,1
17,ColorAssign,0,82,0,1
18,ColorAssign,0,97,0,1
19,ColorAssign,4,3,1,0
20,ColorAssign,4,6,1,0
21,ColorAssign,4,19,1,0
22,ColorAssign,4,26,1,0
23,ColorAssign,4,34,1,0
24,ColorAssign,4,41,1,0
25,ColorAssign,4,50,1,0
26,ColorAssign,4,51,1,0
27,ColorAssign,4,66,1,0
28,ColorAssign,4,71,1,0
29,ColorAssign,4,85,1,0
30,ColorAssign,4,87,1,0
31,ColorAssign,4,23,1,0
32,ColorAssign,4,32,1,0
33,ColorAssign,4,40,1,0
34,Conflict,4,53,1,1
