Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,13,0,1
2,ColorAssign,0,61,0,1
3,ColorAssign,0,68,0,1
4,ColorAssign,0,81,0,1
5,ColorAssign,0,84,0,1
6,ColorAssign,0,94,0,1
7,ColorAssign,0,97,0,1
8,ColorAssign,0,101,0,1
9,ColorAssign,0,108,0,1
10,ColorAssign,0,109,0,1
11,ColorAssign,0,119,0,1
12,ColorAssign,0,120,0,1
13,ColorAssign,0,129,0,1
14,ColorAssign,0,130,0,1
15,ColorAssign,0,155,0,1
16,ColorAssign,0,169,0,1
17,ColorAssign,0,179,0,1
18,ColorAssign,0,183,0,1
19,ColorAssign,0,184,0,1
20,ColorAssign,0,224,0,1
21,ColorAssign,0,252,0,1
22,ColorAssign,0,257,0,1
23,ColorAssign,0,261,0,1
24,ColorAssign,0,265,0,1
25,ColorAssign,0,269,0,1
26,ColorAssign,0,277,0,1
27,ColorAssign,0,289,0,1
28,ColorAssign,0,292,0,1
29,ColorAssign,0,299,0,1
30,ColorAssign,0,301,0,1
31,ColorAssign,0,336,0,1
32,ColorAssign,0,338,0,1
33,ColorAssign,0,342,0,1
34,ColorAssign,0,349,0,1
35,ColorAssign,0,355,0,1
36,ColorAssign,0,356,0,1
37,ColorAssign,0,368,0,1
38,ColorAssign,0,377,0,1
39,ColorAssign,0,378,0,1
40,ColorAssign,0,381,0,1
41,ColorAssign,0,383,0,1
42,ColorAssign,0,392,0,1
43,ColorAssign,0,398,0,1
44,ColorAssign,0,418,0,1
45,ColorAssign,0,451,0,1
46,ColorAssign,0,464,0,1
47,ColorAssign,0,477,0,1
48,ColorAssign,0,498,0,1
49,ColorAssign,0,4,0,1
50,ColorAssign,0,8,0,1
51,ColorAssign,0,14,0,1
52,ColorAssign,0,19,0,1
53,ColorAssign,0,43,0,1
54,ColorAssign,0,52,0,1
55,ColorAssign,0,55,0,1
56,ColorAssign,0,95,0,1
57,ColorAssign,0,100,0,1
58,ColorAssign,0,106,0,1
59,ColorAssign,0,123,0,1
60,ColorAssign,0,125,0,1
61,ColorAssign,0,141,0,1
62,ColorAssign,0,143,0,1
63,ColorAssign,0,177,0,1
64,ColorAssign,0,186,0,1
65,ColorAssign,0,195,0,1
66,ColorAssign,0,231,0,1
67,ColorAssign,0,254,0,1
68,ColorAssign,0,266,0,1
69,ColorAssign,0,280,0,1
70,ColorAssign,0,284,0,1
71,ColorAssign,0,298,0,1
72,ColorAssign,0,313,0,1
73,ColorAssign,0,314,0,1
74,ColorAssign,0,329,0,1
75,ColorAssign,0,340,0,1
76,ColorAssign,0,361,0,1
77,ColorAssign,0,363,0,1
78,ColorAssign,0,379,0,1
79,ColorAssign,0,380,0,1
80,ColorAssign,0,397,0,1
81,ColorAssign,0,419,0,1
82,ColorAssign,0,421,0,1
83,ColorAssign,0,426,0,1
84,ColorAssign,0,431,0,1
85,ColorAssign,0,435,0,1
86,ColorAssign,0,444,0,1
87,ColorAssign,0,445,0,1
88,ColorAssign,0,447,0,1
89,ColorAssign,0,452,0,1
90,ColorAssign,0,478,0,1
91,ColorAssign,0,485,0,1
92,ColorAssign,13,2,1,0
93,Conflict,13,4,1,1
