Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,9,,,,,,0
1,Relax,9,96,2147483647,1,86,87,1
2,Relax,9,65,2147483647,15,55,70,2
3,Relax,9,98,2147483647,18,88,106,3
4,Relax,9,3,2147483647,16,7,23,4
5,Relax,9,35,2147483647,12,25,37,5
6,Relax,9,71,2147483647,8,61,69,6
7,Relax,9,10,2147483647,19,0,19,7
8,Relax,9,75,2147483647,5,65,70,8
9,Relax,9,76,2147483647,5,66,71,9
10,Relax,9,77,2147483647,18,67,85,10
11,Relax,9,17,2147483647,1,7,8,11
12,Relax,9,54,2147483647,1,44,45,12
13,Relax,9,87,2147483647,16,77,93,13
14,Relax,9,26,2147483647,14,16,30,14
15,Relax,9,60,2147483647,14,50,64,15
16,Relax,9,93,2147483647,13,83,96,16
17,Pop,17,,,,,,15
18,Relax,17,0,2147483647,3,10,13,16
19,Relax,17,38,2147483647,20,28,48,17
20,Relax,17,40,2147483647,18,30,48,18
21,Relax,17,41,2147483647,20,31,51,19
22,Relax,17,18,2147483647,16,8,24,20
23,Relax,17,51,2147483647,9,41,50,21
24,Relax,17,53,2147483647,9,43,52,22
25,Relax,17,85,2147483647,18,75,93,23
26,Relax,17,22,2147483647,19,12,31,24
27,Relax,17,56,2147483647,13,46,59,25
28,Relax,17,58,2147483647,17,48,65,26
29,Relax,17,59,2147483647,12,49,61,27
30,Relax,17,60,14,4,50,54,28
31,Relax,17,94,2147483647,7,84,91,29
32,Relax,17,63,2147483647,17,53,70,30
33,Relax,17,95,2147483647,10,85,95,31
34,Pop,0,,,,,,30
35,Relax,0,64,2147483647,14,54,68,31
36,Relax,0,34,2147483647,21,24,45,32
37,Relax,0,99,2147483647,21,89,110,33
38,Relax,0,4,2147483647,10,6,16,34
39,Relax,0,36,2147483647,9,26,35,35
40,Relax,0,7,2147483647,6,3,9,36
41,Relax,0,74,2147483647,14,64,78,37
42,Relax,0,12,2147483647,20,2,22,38
43,Relax,0,44,2147483647,14,34,48,39
44,Relax,0,78,2147483647,13,68,81,40
45,Relax,0,82,2147483647,16,72,88,41
46,Relax,0,52,2147483647,18,42,60,42
47,Relax,0,85,18,4,75,79,43
48,Relax,0,86,2147483647,5,76,81,44
49,Relax,0,23,2147483647,23,13,36,45
50,Relax,0,26,14,5,16,21,46
51,Relax,0,28,2147483647,19,18,37,47
52,Relax,0,31,2147483647,19,21,40,48
53,Pop,7,,,,,,47
54,Relax,7,1,2147483647,10,9,19,48
55,Relax,7,69,2147483647,21,59,80,49
56,Relax,7,71,8,7,61,68,50
57,Relax,7,48,2147483647,7,38,45,51
58,Relax,7,81,2147483647,24,71,95,52
59,Relax,7,83,2147483647,11,73,84,53
60,Relax,7,88,2147483647,25,78,103,54
61,Relax,7,91,2147483647,23,81,104,55
62,Relax,7,92,2147483647,11,82,93,56
63,Relax,7,30,2147483647,19,20,39,57
64,Relax,7,62,2147483647,20,52,72,58
65,Pop,4,,,,,,57
66,Relax,4,98,18,11,88,99,58
67,Relax,4,99,21,20,89,109,59
68,Relax,4,39,2147483647,14,29,43,60
69,Relax,4,73,2147483647,24,63,87,61
70,Relax,4,43,2147483647,27,33,60,62
71,Relax,4,13,2147483647,27,3,30,63
72,Relax,4,50,2147483647,27,40,67,64
73,Relax,4,55,2147483647,28,45,73,65
74,Relax,4,87,16,14,77,91,66
75,Relax,4,89,2147483647,28,79,107,67
76,Relax,4,58,17,13,48,61,68
77,Relax,4,28,19,17,18,35,69
78,Relax,4,61,2147483647,29,51,80,70
79,Relax,4,30,19,15,20,35,71
80,Pop,10,,,,,,70
81,ReachedGoal,10,,,,,,70
