Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,20,,,,,,0
1,Relax,20,96,2147483647,13,75,88,1
2,Relax,20,97,2147483647,18,76,94,2
3,Relax,20,4,2147483647,14,17,31,3
4,Relax,20,41,2147483647,13,20,33,4
5,Relax,20,44,2147483647,13,23,36,5
6,Relax,20,13,2147483647,17,8,25,6
7,Relax,20,45,2147483647,1,24,25,7
8,Relax,20,84,2147483647,5,63,68,8
9,Relax,20,85,2147483647,6,64,70,9
10,Relax,20,22,2147483647,15,1,16,10
11,Relax,20,54,2147483647,10,33,43,11
12,Relax,20,87,2147483647,3,66,69,12
13,Relax,20,55,2147483647,3,34,37,13
14,Relax,20,89,2147483647,14,68,82,14
15,Relax,20,58,2147483647,15,37,52,15
16,Relax,20,92,2147483647,1,71,72,16
17,Relax,20,94,2147483647,4,73,77,17
18,Pop,22,,,,,,16
19,Relax,22,1,2147483647,30,20,50,17
20,Relax,22,68,2147483647,24,47,71,18
21,Relax,22,37,2147483647,29,16,45,19
22,Relax,22,69,2147483647,25,48,73,20
23,Relax,22,8,2147483647,26,13,39,21
24,Relax,22,43,2147483647,31,22,53,22
25,Relax,22,76,2147483647,21,55,76,23
26,Relax,22,15,2147483647,26,6,32,24
27,Relax,22,79,2147483647,28,58,86,25
28,Relax,22,81,2147483647,27,60,87,26
29,Relax,22,83,2147483647,20,62,82,27
30,Relax,22,51,2147483647,25,30,55,28
31,Relax,22,25,2147483647,24,4,28,29
32,Relax,22,29,2147483647,31,8,39,30
33,Relax,22,31,2147483647,30,10,40,31
34,Relax,22,95,2147483647,22,74,96,32
35,Pop,13,,,,,,31
36,Relax,13,35,2147483647,18,14,32,32
37,Relax,13,36,2147483647,29,15,44,33
38,Relax,13,7,2147483647,29,14,43,34
39,Relax,13,71,2147483647,35,50,85,35
40,Relax,13,10,2147483647,20,11,31,36
41,Relax,13,14,2147483647,26,7,33,37
42,Relax,13,79,28,27,58,85,38
43,Relax,13,16,2147483647,35,5,40,39
44,Relax,13,50,2147483647,31,29,60,40
45,Relax,13,19,2147483647,31,2,33,41
46,Relax,13,52,2147483647,23,31,54,42
47,Relax,13,21,2147483647,19,0,19,43
48,Relax,13,24,2147483647,18,3,21,44
49,Relax,13,56,2147483647,26,35,61,45
50,Relax,13,90,2147483647,26,69,95,46
51,Relax,13,27,2147483647,29,6,35,47
52,Relax,13,93,2147483647,31,72,103,48
53,Pop,21,,,,,,47
54,ReachedGoal,21,,,,,,47
