Iteration,Action,U,V,OldDist,NewDist
1,Relax,95,64,2147483647,16
1,Relax,95,0,2147483647,20
1,Relax,95,2,2147483647,15
1,Relax,95,3,2147483647,2
1,Relax,95,35,2147483647,3
1,Relax,95,68,2147483647,8
1,Relax,95,5,2147483647,13
1,Relax,95,7,2147483647,10
1,Relax,95,39,2147483647,14
1,Relax,95,11,2147483647,15
1,Relax,95,44,2147483647,7
1,Relax,95,46,2147483647,1
1,Relax,95,17,2147483647,9
1,Relax,95,49,2147483647,2
1,Relax,95,86,2147483647,17
1,Relax,95,55,2147483647,20
1,Relax,95,25,2147483647,1
1,Relax,95,57,2147483647,16
1,Relax,95,90,2147483647,16
1,Relax,95,31,2147483647,19
2,Relax,0,34,2147483647,38
2,Relax,0,99,2147483647,38
2,Relax,0,4,2147483647,27
2,Relax,0,36,2147483647,26
2,Relax,0,74,2147483647,31
2,Relax,0,12,2147483647,37
2,Relax,0,78,2147483647,30
2,Relax,0,82,2147483647,33
2,Relax,0,52,2147483647,35
2,Relax,0,85,2147483647,21
2,Relax,0,53,2147483647,26
2,Relax,0,54,2147483647,39
2,Relax,0,23,2147483647,40
2,Relax,0,26,2147483647,22
2,Relax,0,28,2147483647,36
2,Relax,2,1,2147483647,19
2,Relax,2,33,2147483647,19
2,Relax,2,97,2147483647,16
2,Relax,2,98,2147483647,16
2,Relax,2,37,2147483647,24
2,Relax,2,38,2147483647,20
2,Relax,2,70,2147483647,27
2,Relax,2,71,2147483647,22
2,Relax,2,42,2147483647,26
2,Relax,2,12,37,22
2,Relax,2,79,2147483647,22
2,Relax,2,80,2147483647,27
2,Relax,2,18,2147483647,32
2,Relax,2,19,2147483647,16
2,Relax,2,28,36,27
2,Relax,2,93,2147483647,21
2,Relax,2,30,2147483647,31
2,Relax,3,65,2147483647,16
2,Relax,3,67,2147483647,9
2,Relax,3,70,27,4
2,Relax,3,8,2147483647,3
2,Relax,3,9,2147483647,18
2,Relax,3,10,2147483647,4
2,Relax,3,74,31,7
2,Relax,3,11,15,9
2,Relax,3,75,2147483647,6
2,Relax,3,76,2147483647,16
2,Relax,3,77,2147483647,14
2,Relax,3,13,2147483647,4
2,Relax,3,16,2147483647,8
2,Relax,3,81,2147483647,19
2,Relax,3,83,2147483647,21
2,Relax,3,85,21,17
2,Relax,3,89,2147483647,10
2,Relax,3,28,27,3
2,Relax,3,31,19,7
2,Relax,3,32,2147483647,12
2,Relax,3,97,16,6
2,Relax,3,53,26,7
2,Relax,3,60,2147483647,14
2,Relax,3,63,2147483647,7
2,Relax,4,99,38,37
2,Relax,4,73,2147483647,41
2,Relax,4,43,2147483647,44
2,Relax,4,50,2147483647,44
2,Relax,4,51,2147483647,37
2,Relax,4,22,2147483647,46
2,Relax,4,54,39,37
2,Relax,4,87,2147483647,31
2,Relax,4,58,2147483647,30
2,Relax,4,91,2147483647,45
2,Relax,4,61,2147483647,46
2,Relax,5,73,41,25
2,Relax,5,43,44,24
2,Relax,5,45,2147483647,14
2,Relax,5,82,33,24
2,Relax,5,20,2147483647,28
2,Relax,5,59,2147483647,22
2,Relax,7,0,20,13
2,Relax,7,1,19,14
2,Relax,7,69,2147483647,25
2,Relax,7,71,22,11
2,Relax,7,48,2147483647,11
2,Relax,7,83,21,15
2,Relax,7,88,2147483647,29
2,Relax,7,91,45,27
2,Relax,7,92,2147483647,15
2,Relax,7,30,31,23
2,Relax,7,62,2147483647,24
2,Relax,8,65,16,15
2,Relax,8,82,24,5
2,Relax,8,22,46,20
2,Relax,8,23,40,14
2,Relax,8,87,31,15
2,Relax,8,91,27,6
2,Relax,8,93,21,9
2,Relax,8,98,16,12
2,Relax,8,37,24,11
2,Relax,8,43,24,6
2,Relax,8,48,11,10
2,Relax,8,51,37,12
2,Relax,8,52,35,21
2,Relax,8,54,37,14
2,Relax,8,61,46,18
2,Relax,9,96,2147483647,19
2,Relax,10,1,14,6
2,Relax,10,4,27,15
2,Relax,10,5,13,9
2,Relax,10,41,2147483647,7
2,Relax,10,80,27,17
2,Relax,10,16,8,6
2,Relax,10,84,2147483647,20
2,Relax,10,56,2147483647,21
2,Relax,10,29,2147483647,21
2,Relax,10,30,23,20
2,Relax,11,15,2147483647,15
2,Relax,11,87,15,14
2,Relax,11,88,29,14
2,Relax,11,27,2147483647,20
2,Relax,11,94,2147483647,29
2,Relax,13,96,19,18
2,Relax,13,32,12,9
2,Relax,13,64,16,12
2,Relax,13,66,2147483647,14
2,Relax,13,6,2147483647,17
2,Relax,13,72,2147483647,13
2,Relax,13,40,2147483647,12
2,Relax,13,80,17,12
2,Relax,13,19,16,8
2,Relax,13,87,14,8
2,Relax,13,62,24,21
2,Relax,15,78,30,19
2,Relax,15,21,2147483647,19
2,Relax,15,56,21,17
2,Relax,16,36,26,20
2,Relax,16,12,22,12
2,Relax,16,77,14,11
2,Relax,16,21,19,17
2,Relax,16,30,20,15
2,Relax,17,0,13,11
2,Relax,17,9,18,10
2,Relax,17,18,32,24
2,Relax,17,58,30,25
2,Relax,17,59,22,20
2,Relax,17,60,14,12
2,Relax,17,94,29,15
2,Relax,19,2,15,9
2,Relax,19,39,14,10
2,Relax,19,45,14,13
2,Relax,19,47,2147483647,24
2,Relax,19,50,44,28
2,Relax,19,84,20,9
2,Relax,19,22,20,19
2,Relax,19,27,20,13
2,Relax,20,99,37,35
2,Relax,22,69,25,20
2,Relax,22,26,22,21
2,Relax,23,34,38,33
2,Relax,23,14,2147483647,31
2,Relax,23,18,24,18
2,Relax,25,65,15,10
2,Relax,25,80,12,4
2,Relax,25,21,17,14
2,Relax,25,54,14,2
2,Relax,25,55,20,7
2,Relax,25,93,9,3
2,Relax,25,63,7,4
2,Relax,26,14,31,24
2,Relax,26,50,28,23
2,Relax,26,24,2147483647,34
2,Relax,27,99,35,20
2,Relax,27,59,20,17
2,Relax,28,4,15,10
2,Relax,28,86,17,4
2,Relax,28,38,20,13
2,Relax,29,34,33,28
2,Relax,30,47,24,18
2,Relax,30,79,22,17
2,Relax,31,33,19,15
2,Relax,31,12,12,9
2,Relax,31,24,34,24
2,Relax,31,58,25,24
2,Relax,31,62,21,8
2,Relax,32,34,28,16
2,Relax,32,76,16,12
2,Relax,32,50,23,11
2,Relax,32,20,28,14
2,Relax,33,99,20,18
2,Relax,33,42,26,17
2,Relax,34,58,24,23
2,Relax,35,33,15,13
2,Relax,35,34,16,13
2,Relax,35,39,10,9
2,Relax,35,51,12,8
2,Relax,35,26,21,8
2,Relax,35,30,15,12
2,Relax,38,83,15,14
2,Relax,38,42,17,15
2,Relax,38,52,21,17
2,Relax,38,56,17,14
2,Relax,41,98,12,8
2,Relax,41,38,13,11
2,Relax,42,99,18,17
