Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,33,,,,,,0
1,Relax,33,1,2147483647,17,33,50,1
2,Relax,33,66,2147483647,17,32,49,2
3,Relax,33,83,2147483647,4,49,53,3
4,Relax,33,7,2147483647,3,27,30,4
5,Relax,33,87,2147483647,11,53,64,5
6,Relax,33,25,2147483647,14,9,23,6
7,Relax,33,46,2147483647,3,12,15,7
8,Relax,33,31,2147483647,8,3,11,8
9,Pop,31,,,,,,7
10,Relax,31,35,2147483647,13,1,14,8
11,Relax,31,10,2147483647,11,24,35,9
12,Relax,31,75,2147483647,13,41,54,10
13,Relax,31,28,2147483647,26,6,32,11
14,Relax,31,13,2147483647,15,21,36,12
15,Relax,31,14,2147483647,11,20,31,13
16,Relax,31,47,2147483647,23,13,36,14
17,Pop,35,,,,,,13
18,Relax,35,80,2147483647,31,46,77,14
19,Relax,35,97,2147483647,29,63,92,15
20,Relax,35,50,2147483647,14,16,30,16
21,Relax,35,6,2147483647,14,28,42,17
22,Relax,35,26,2147483647,14,8,22,18
23,Relax,35,74,2147483647,25,40,65,19
24,Relax,35,47,23,17,13,30,20
25,Relax,35,63,2147483647,14,29,43,21
26,Pop,46,,,,,,20
27,Relax,46,96,2147483647,23,62,85,21
28,Relax,46,99,2147483647,8,65,73,22
29,Relax,46,88,2147483647,14,54,68,23
30,Relax,46,27,2147483647,15,7,22,24
31,Relax,46,43,2147483647,22,9,31,25
32,Relax,46,91,2147483647,23,57,80,26
33,Relax,46,44,2147483647,10,10,20,27
34,Relax,46,93,2147483647,6,59,65,28
35,Relax,46,79,2147483647,6,45,51,29
36,Pop,44,,,,,,28
37,Relax,44,64,2147483647,14,30,44,29
38,Relax,44,80,31,29,46,75,30
39,Relax,44,42,2147483647,19,8,27,31
40,Relax,44,91,23,22,57,79,32
41,Relax,44,92,2147483647,23,58,81,33
42,Relax,44,60,2147483647,22,26,48,34
43,Relax,44,15,2147483647,13,19,32,35
44,Pop,26,,,,,,34
45,Relax,26,32,2147483647,23,2,25,35
46,Relax,26,65,2147483647,26,31,57,36
47,Relax,26,3,2147483647,30,31,61,37
48,Relax,26,67,2147483647,21,33,54,38
49,Relax,26,73,2147483647,15,39,54,39
50,Relax,26,59,2147483647,33,25,58,40
51,Pop,27,,,,,,39
52,Relax,27,0,2147483647,29,34,63,40
53,Relax,27,37,2147483647,23,3,26,41
54,Relax,27,69,2147483647,33,35,68,42
55,Relax,27,8,2147483647,18,26,44,43
56,Relax,27,72,2147483647,26,38,64,44
57,Relax,27,9,2147483647,24,25,49,45
58,Relax,27,12,2147483647,33,22,55,46
59,Relax,27,19,2147483647,20,15,35,47
60,Relax,27,51,2147483647,22,17,39,48
61,Pop,25,,,,,,47
62,Relax,25,32,23,22,2,24,48
63,Relax,25,98,2147483647,30,64,94,49
64,Relax,25,38,2147483647,33,4,37,50
65,Relax,25,54,2147483647,21,20,41,51
66,Relax,25,89,2147483647,22,55,77,52
67,Relax,25,45,2147483647,20,11,31,53
68,Pop,32,,,,,,52
69,Relax,32,98,30,27,64,91,53
70,Relax,32,85,2147483647,32,51,83,54
71,Relax,32,90,2147483647,29,56,85,55
72,Relax,32,95,2147483647,29,61,90,56
73,Pop,37,,,,,,54
74,Relax,37,16,2147483647,43,18,61,55
75,Relax,37,49,2147483647,40,15,55,56
76,Relax,37,34,2147483647,26,0,26,57
77,Relax,37,39,2147483647,25,5,30,58
78,Relax,37,11,2147483647,28,23,51,59
79,Relax,37,61,2147483647,39,27,66,60
80,Relax,37,30,2147483647,43,4,47,61
81,Relax,37,62,2147483647,41,28,69,62
82,Pop,34,,,,,,61
83,ReachedGoal,34,,,,,,61
