Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,84,,,,,,0
1,Relax,84,1,2147483647,3,84,87,1
2,Relax,84,39,2147483647,12,46,58,2
3,Pop,39,,,,,,1
4,Relax,39,80,2147483647,19,5,24,2
5,Relax,39,65,2147483647,18,20,38,3
6,Pop,80,,,,,,2
7,Relax,80,2,2147483647,29,83,112,3
8,Pop,65,,,,,,2
9,Relax,65,5,2147483647,21,80,101,3
10,Pop,1,,,,,,2
11,Relax,1,10,2147483647,7,75,82,3
12,Relax,1,58,2147483647,5,27,32,4
13,Pop,58,,,,,,3
14,Relax,58,87,2147483647,20,2,22,4
15,Pop,87,,,,,,3
16,Relax,87,37,2147483647,29,48,77,4
17,Relax,87,69,2147483647,40,16,56,5
18,Pop,69,,,,,,4
19,Relax,69,96,2147483647,41,11,52,5
20,Relax,69,35,2147483647,49,50,99,6
21,Pop,96,,,,,,5
22,Pop,37,,,,,,4
23,Pop,10,,,,,,3
24,Relax,10,17,2147483647,10,68,78,4
25,Relax,10,77,2147483647,26,8,34,5
26,Pop,77,,,,,,4
27,Relax,77,89,2147483647,34,4,38,5
28,Relax,77,30,2147483647,43,55,98,6
29,Pop,89,,,,,,5
30,Relax,89,0,2147483647,49,85,134,6
31,Relax,89,43,2147483647,35,42,77,7
32,Pop,43,,,,,,6
33,Relax,43,32,2147483647,50,53,103,7
34,Relax,43,38,2147483647,51,47,98,8
35,Relax,43,45,2147483647,39,40,79,9
36,Relax,43,79,2147483647,53,6,59,10
37,Pop,79,,,,,,9
38,Relax,79,76,2147483647,60,9,69,10
39,Pop,76,,,,,,9
40,Relax,76,44,2147483647,65,41,106,10
41,Pop,17,,,,,,9
42,Relax,17,6,2147483647,20,79,99,10
43,Pop,45,,,,,,9
44,Relax,45,66,2147483647,51,19,70,10
45,Relax,45,83,2147483647,49,2,51,11
46,Pop,83,,,,,,10
47,Relax,83,23,2147483647,69,62,131,11
48,Pop,66,,,,,,10
49,Relax,66,3,2147483647,54,82,136,11
50,Pop,38,,,,,,10
51,Relax,38,11,2147483647,66,74,140,11
52,Pop,30,,,,,,10
53,Relax,30,81,2147483647,47,4,51,11
54,Relax,30,68,2147483647,57,17,74,12
55,Relax,30,23,69,54,62,116,13
56,Relax,30,11,66,51,74,125,14
57,Pop,81,,,,,,13
58,Pop,68,,,,,,12
59,Relax,68,62,2147483647,75,23,98,13
60,Pop,62,,,,,,12
61,Pop,6,,,,,,11
62,Relax,6,51,2147483647,32,34,66,12
63,Relax,6,23,54,22,62,84,13
64,Relax,6,62,75,33,23,56,14
65,Pop,51,,,,,,12
66,Relax,51,4,2147483647,51,81,132,13
67,Pop,23,,,,,,12
68,Relax,23,3,54,36,82,118,13
69,Relax,23,83,49,42,2,44,14
70,Relax,23,44,65,37,41,78,15
71,Relax,23,30,43,33,55,88,16
72,Relax,23,95,2147483647,24,10,34,17
73,Pop,95,,,,,,16
74,Relax,95,82,2147483647,40,3,43,17
75,Relax,95,27,2147483647,33,58,91,18
76,Relax,95,75,2147483647,35,10,45,19
77,Pop,82,,,,,,18
78,Relax,82,26,2147483647,58,59,117,19
79,Relax,82,46,2147483647,48,39,87,20
80,Pop,75,,,,,,18
81,Relax,75,72,2147483647,54,13,67,19
82,Relax,75,78,2147483647,45,7,52,20
83,Pop,78,,,,,,19
84,Relax,78,91,2147483647,57,6,63,20
85,Pop,91,,,,,,19
86,Relax,91,52,2147483647,74,33,107,20
87,Relax,91,73,2147483647,71,12,83,21
88,Relax,91,59,2147483647,68,26,94,22
89,Relax,91,61,2147483647,73,24,97,23
90,Relax,91,63,2147483647,69,22,91,24
91,Pop,72,,,,,,23
92,Relax,72,19,2147483647,72,66,138,24
93,Relax,72,86,2147483647,69,1,70,25
94,Relax,72,61,73,63,24,87,26
95,Pop,86,,,,,,25
96,Relax,86,15,2147483647,80,70,150,26
97,Pop,44,,,,,,25
98,Relax,44,74,2147483647,41,11,52,26
99,Relax,44,76,60,42,9,51,27
100,Pop,74,,,,,,25
101,Pop,73,,,,,,24
102,Relax,73,55,2147483647,79,30,109,25
103,Relax,73,25,2147483647,79,60,139,26
104,Relax,73,41,2147483647,74,44,118,27
105,Pop,46,,,,,,26
106,Relax,46,15,80,63,70,133,27
107,Pop,61,,,,,,26
108,Relax,61,53,2147483647,75,32,107,27
109,Relax,61,22,2147483647,68,63,131,28
110,Relax,61,88,2147483647,81,3,84,29
111,Relax,61,92,2147483647,64,7,71,30
112,Relax,61,47,2147483647,73,38,111,31
113,Pop,92,,,,,,30
114,Relax,92,13,2147483647,78,72,150,31
115,Pop,88,,,,,,30
116,Pop,27,,,,,,28
117,Relax,27,21,2147483647,47,64,111,29
118,Relax,27,56,2147483647,36,29,65,30
119,Pop,56,,,,,,29
120,Relax,56,64,2147483647,56,21,77,30
121,Pop,64,,,,,,29
122,Relax,64,36,2147483647,60,49,109,30
123,Pop,63,,,,,,29
124,Relax,63,20,2147483647,80,65,145,30
125,Relax,63,42,2147483647,81,43,124,31
126,Pop,59,,,,,,30
127,Pop,35,,,,,,28
128,Relax,35,22,68,65,63,128,29
129,Relax,35,31,2147483647,60,54,114,30
130,Pop,5,,,,,,29
131,Relax,5,92,64,37,7,44,30
132,Pop,32,,,,,,28
133,Pop,52,,,,,,26
134,Relax,52,28,2147483647,86,57,143,27
135,Pop,53,,,,,,26
136,Relax,53,12,2147483647,79,73,152,27
137,Pop,55,,,,,,26
138,Pop,36,,,,,,25
139,Relax,36,42,81,65,43,108,26
140,Relax,36,94,2147483647,71,9,80,27
141,Pop,94,,,,,,26
142,Pop,42,,,,,,25
143,Pop,47,,,,,,24
144,Pop,21,,,,,,23
145,Relax,21,59,68,62,26,88,24
146,Pop,2,,,,,,22
147,Relax,2,0,49,47,85,132,23
148,Relax,2,46,48,36,39,75,24
149,Pop,31,,,,,,22
150,Relax,31,98,2147483647,62,13,75,23
151,Relax,31,20,80,72,65,137,24
152,Pop,98,,,,,,23
153,Relax,98,33,2147483647,77,52,129,24
154,Pop,26,,,,,,22
155,Pop,3,,,,,,21
156,Relax,3,50,2147483647,43,35,78,22
157,Relax,3,66,51,39,19,58,23
158,Relax,3,68,57,46,17,63,24
159,Pop,50,,,,,,21
160,Relax,50,41,74,51,44,95,22
161,Pop,41,,,,,,21
162,Relax,41,73,71,54,12,66,22
163,Pop,11,,,,,,18
164,Relax,11,54,2147483647,60,31,91,19
165,Pop,54,,,,,,18
166,Pop,22,,,,,,17
167,Pop,33,,,,,,16
168,Pop,0,,,,,,13
169,Pop,4,,,,,,12
170,Relax,4,19,72,59,66,125,13
171,Pop,19,,,,,,12
172,Relax,19,94,71,61,9,70,13
173,Relax,19,47,73,69,38,107,14
174,Pop,15,,,,,,11
175,Pop,20,,,,,,8
176,Relax,20,29,2147483647,88,56,144,9
177,Pop,25,,,,,,7
178,Relax,25,14,2147483647,95,71,166,8
179,Pop,28,,,,,,6
180,Relax,28,70,2147483647,101,15,116,7
181,Pop,70,,,,,,6
182,Pop,29,,,,,,5
183,Pop,13,,,,,,3
184,Pop,12,,,,,,1
185,Relax,12,67,2147483647,83,18,101,2
186,Pop,67,,,,,,1
187,Relax,67,97,2147483647,89,12,101,2
188,Relax,67,14,95,93,71,164,3
189,Pop,97,,,,,,2
190,Relax,97,34,2147483647,92,51,143,3
191,Pop,34,,,,,,2
192,Pop,14,,,,,,1
