Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,43,,,,,,0
1,Relax,43,50,2147483647,2,6,8,1
2,Relax,43,8,2147483647,17,36,53,2
3,Pop,50,,,,,,1
4,Relax,50,94,2147483647,19,50,69,2
5,Pop,8,,,,,,1
6,Relax,8,53,2147483647,19,9,28,2
7,Relax,8,92,2147483647,27,48,75,3
8,Pop,53,,,,,,2
9,Relax,53,4,2147483647,21,40,61,3
10,Relax,53,61,2147483647,26,17,43,4
11,Relax,53,78,2147483647,32,34,66,5
12,Pop,61,,,,,,4
13,Relax,61,60,2147483647,37,16,53,5
14,Pop,60,,,,,,4
15,Relax,60,3,2147483647,55,41,96,5
16,Relax,60,86,2147483647,42,42,84,6
17,Pop,4,,,,,,5
18,Relax,4,77,2147483647,23,33,56,6
19,Relax,4,63,2147483647,41,19,60,7
20,Pop,77,,,,,,6
21,Relax,77,97,2147483647,36,53,89,7
22,Relax,77,83,2147483647,30,39,69,8
23,Relax,77,40,2147483647,26,4,30,9
24,Pop,40,,,,,,8
25,Relax,40,35,2147483647,30,9,39,9
26,Relax,40,38,2147483647,34,6,40,10
27,Pop,35,,,,,,9
28,Relax,35,17,2147483647,42,27,69,10
29,Pop,38,,,,,,9
30,Relax,38,19,2147483647,45,25,70,10
31,Relax,38,41,2147483647,50,3,53,11
32,Pop,41,,,,,,10
33,Relax,41,87,2147483647,58,43,101,11
34,Pop,63,,,,,,10
35,Relax,63,22,2147483647,51,22,73,11
36,Relax,63,73,2147483647,49,29,78,12
37,Pop,78,,,,,,11
38,Relax,78,80,2147483647,34,36,70,12
39,Relax,78,57,2147483647,39,13,52,13
40,Relax,78,45,2147483647,45,1,46,14
41,Pop,45,,,,,,13
42,Relax,45,91,2147483647,50,47,97,14
43,Pop,57,,,,,,13
44,Pop,83,,,,,,12
45,Relax,83,34,2147483647,44,10,54,13
46,Relax,83,79,2147483647,34,35,69,14
47,Pop,34,,,,,,13
48,Relax,34,82,2147483647,45,38,83,14
49,Relax,34,23,2147483647,46,21,67,15
50,Relax,34,13,2147483647,45,31,76,16
51,Relax,34,14,2147483647,45,30,75,17
52,Pop,23,,,,,,16
53,Pop,94,,,,,,15
54,Relax,94,27,2147483647,37,17,54,16
55,Pop,27,,,,,,15
56,Pop,17,,,,,,14
57,Relax,17,32,2147483647,52,12,64,15
58,Relax,17,71,2147483647,55,27,82,16
59,Pop,32,,,,,,15
60,Pop,79,,,,,,14
61,Relax,79,67,2147483647,53,23,76,15
62,Relax,79,55,2147483647,45,11,56,16
63,Relax,79,87,58,38,43,81,17
64,Pop,55,,,,,,16
65,Relax,55,48,2147483647,59,4,63,17
66,Relax,55,74,2147483647,47,30,77,18
67,Relax,55,11,2147483647,51,33,84,19
68,Relax,55,28,2147483647,61,16,77,20
69,Relax,55,44,2147483647,49,0,49,21
70,Pop,44,,,,,,20
71,ReachedGoal,44,,,,,,20
