Step,Action,Node,StackState,VisitedSet
0,PushStart,17,[17],[]
1,Visit,17,[],[17]
2,Push,79,[79],[17]
3,Push,74,"[74, 79]",[17]
4,Push,53,"[53, 74, 79]",[17]
5,Push,51,"[51, 53, 74, 79]",[17]
6,Push,79,"[79, 51, 53, 74, 79]",[17]
7,Push,73,"[73, 79, 51, 53, 74, 79]",[17]
8,Push,61,"[61, 73, 79, 51, 53, 74, 79]",[17]
9,Push,48,"[48, 61, 73, 79, 51, 53, 74, 79]",[17]
10,Push,36,"[36, 48, 61, 73, 79, 51, 53, 74, 79]",[17]
11,Push,27,"[27, 36, 48, 61, 73, 79, 51, 53, 74, 79]",[17]
12,Push,21,"[21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]",[17]
13,Push,14,"[14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]",[17]
14,Push,5,"[5, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]",[17]
15,Visit,5,"[14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 5]"
16,Push,99,"[99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 5]"
17,Push,41,"[41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 5]"
18,Push,28,"[28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 5]"
19,Push,26,"[26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 5]"
20,Push,18,"[18, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 5]"
21,Visit,18,"[26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5]"
22,Push,76,"[76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5]"
