Step,Action,Node,StackState,VisitedSet
23,Push,59,"[59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5]"
24,Push,57,"[57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5]"
25,Push,94,"[94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5]"
26,Push,40,"[40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5]"
27,Push,32,"[32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5]"
28,Push,29,"[29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5]"
29,Push,11,"[11, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5]"
30,Visit,11,"[29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 11]"
31,Push,96,"[96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 11]"
32,Push,64,"[64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 11]"
33,Push,34,"[34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 11]"
34,Push,21,"[21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 11]"
35,Push,94,"[94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 11]"
36,Push,76,"[76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 11]"
37,Push,58,"[58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 11]"
38,Push,57,"[57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 11]"
39,Push,24,"[24, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 11]"
40,Visit,24,"[57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
41,Push,72,"[72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
42,Push,54,"[54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
43,Push,51,"[51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
44,Push,29,"[29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
45,Push,96,"[96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
46,Push,95,"[95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
47,Push,86,"[86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
48,Push,73,"[73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
49,Push,63,"[63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
50,Push,54,"[54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
51,Push,37,"[37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
52,Push,25,"[25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
53,Push,9,"[9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
54,Push,20,"[20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
55,Push,14,"[14, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11]"
56,Visit,14,"[20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 14]"
57,Push,66,"[66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 14]"
58,Push,64,"[64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 14]"
59,Push,86,"[86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 14]"
60,Push,58,"[58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 14]"
61,Push,40,"[40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 14]"
62,Push,37,"[37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 14]"
63,Push,13,"[13, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 14]"
64,Visit,13,"[37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 13, 14]"
65,Push,72,"[72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 13, 14]"
66,Push,25,"[25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 13, 14]"
67,Push,70,"[70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 13, 14]"
68,Push,44,"[44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 13, 14]"
69,Push,20,"[20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 13, 14]"
70,Push,19,"[19, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 5, 24, 11, 13, 14]"
71,Visit,19,"[20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 5, 24, 11, 13, 14]"
72,Push,95,"[95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 5, 24, 11, 13, 14]"
73,Push,90,"[90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 5, 24, 11, 13, 14]"
74,Push,53,"[53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 5, 24, 11, 13, 14]"
75,Push,48,"[48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 5, 24, 11, 13, 14]"
76,Push,46,"[46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 5, 24, 11, 13, 14]"
77,Push,78,"[78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 5, 24, 11, 13, 14]"
78,Push,64,"[64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 5, 24, 11, 13, 14]"
79,Push,41,"[41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 5, 24, 11, 13, 14]"
80,Push,23,"[23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 5, 24, 11, 13, 14]"
81,Push,3,"[3, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 5, 24, 11, 13, 14]"
82,Visit,3,"[23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
83,Push,86,"[86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
84,Push,60,"[60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
85,Push,54,"[54, 60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
86,Push,28,"[28, 54, 60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
87,Push,12,"[12, 28, 54, 60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
88,Push,6,"[6, 12, 28, 54, 60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
89,Push,95,"[95, 6, 12, 28, 54, 60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
90,Push,85,"[85, 95, 6, 12, 28, 54, 60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
91,Push,80,"[80, 85, 95, 6, 12, 28, 54, 60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
92,Push,75,"[75, 80, 85, 95, 6, 12, 28, 54, 60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
93,Push,73,"[73, 75, 80, 85, 95, 6, 12, 28, 54, 60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
94,Push,22,"[22, 73, 75, 80, 85, 95, 6, 12, 28, 54, 60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
95,Push,12,"[12, 22, 73, 75, 80, 85, 95, 6, 12, 28, 54, 60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
96,Push,4,"[4, 12, 22, 73, 75, 80, 85, 95, 6, 12, 28, 54, 60, 86, 23, 41, 64, 78, 46, 48, 53, 90, 95, 20, 44, 70, 25, 72, 37, 40, 58, 86, 64, 66, 20, 9, 25, 37, 54, 63, 73, 86, 95, 96, 29, 51, 54, 72, 57, 58, 76, 94, 21, 34, 64, 96, 29, 32, 40, 94, 57, 59, 76, 26, 28, 41, 99, 14, 21, 27, 36, 48, 61, 73, 79, 51, 53, 74, 79]","[17, 18, 19, 3, 5, 24, 11, 13, 14]"
