Iteration,Action,U,V,OldDist,NewDist
1,Relax,72,14,2147483647,9
2,Relax,14,34,2147483647,10
2,Relax,14,87,2147483647,27
2,Relax,34,82,2147483647,11
2,Relax,34,83,2147483647,24
2,Relax,34,23,2147483647,12
2,Relax,34,13,2147483647,11
2,Relax,83,77,2147483647,31
2,Relax,83,79,2147483647,28
2,Relax,87,65,2147483647,41
2,Relax,87,41,2147483647,35
2,Relax,87,74,2147483647,40
2,Relax,87,62,2147483647,32
3,Relax,13,88,2147483647,26
3,Relax,13,30,2147483647,29
3,Relax,30,76,2147483647,42
3,Relax,41,38,2147483647,51
3,Relax,65,69,2147483647,46
3,Relax,65,39,2147483647,60
3,Relax,65,95,2147483647,54
3,Relax,69,98,2147483647,63
3,Relax,69,71,2147483647,47
3,Relax,71,17,2147483647,60
3,Relax,71,67,2147483647,50
3,Relax,74,98,63,56
3,Relax,74,19,2147483647,54
3,Relax,74,36,2147483647,46
3,Relax,74,55,2147483647,42
3,Relax,76,5,2147483647,46
3,Relax,76,7,2147483647,62
3,Relax,76,90,2147483647,61
3,Relax,76,15,2147483647,46
3,Relax,77,97,2147483647,44
3,Relax,77,4,2147483647,33
3,Relax,77,40,2147483647,34
3,Relax,77,78,2147483647,41
3,Relax,78,80,2147483647,43
3,Relax,78,53,2147483647,54
3,Relax,78,57,2147483647,48
3,Relax,78,45,2147483647,54
3,Relax,79,67,50,47
3,Relax,79,55,42,39
3,Relax,80,48,2147483647,54
3,Relax,80,64,2147483647,46
3,Relax,80,6,2147483647,49
3,Relax,88,16,2147483647,34
3,Relax,88,75,2147483647,28
3,Relax,88,12,2147483647,43
3,Relax,95,25,2147483647,70
3,Relax,95,42,2147483647,65
3,Relax,97,20,2147483647,48
4,Relax,4,53,54,35
4,Relax,4,92,2147483647,43
4,Relax,4,63,2147483647,53
4,Relax,5,96,2147483647,54
4,Relax,6,85,2147483647,60
4,Relax,12,54,2147483647,50
4,Relax,12,70,2147483647,46
4,Relax,12,73,2147483647,63
4,Relax,16,96,54,35
4,Relax,16,84,2147483647,46
4,Relax,17,32,2147483647,70
4,Relax,17,35,2147483647,72
4,Relax,17,91,2147483647,80
4,Relax,20,52,2147483647,67
4,Relax,40,35,72,38
4,Relax,40,38,51,42
4,Relax,42,68,2147483647,76
4,Relax,45,91,80,59
4,Relax,52,58,2147483647,84
4,Relax,53,8,2147483647,37
4,Relax,53,61,2147483647,42
4,Relax,54,51,2147483647,61
4,Relax,55,48,54,53
4,Relax,55,11,2147483647,45
4,Relax,55,28,2147483647,55
4,Relax,55,44,2147483647,43
4,Relax,58,66,2147483647,85
4,Relax,61,60,2147483647,53
4,Relax,63,22,2147483647,63
4,Relax,63,73,63,61
4,Relax,66,3,2147483647,94
4,Relax,67,37,2147483647,51
4,Relax,67,86,2147483647,51
4,Relax,67,91,59,48
4,Relax,68,0,2147483647,83
4,Relax,86,81,2147483647,63
4,Relax,91,45,54,53
4,Relax,96,19,54,52
4,Relax,96,5,46,43
5,Relax,8,43,2147483647,54
5,Relax,11,47,2147483647,52
5,Relax,35,17,60,50
5,Relax,43,50,2147483647,56
5,Relax,44,93,2147483647,49
5,Relax,50,94,2147483647,73
5,Relax,60,3,94,71
5,Relax,93,21,2147483647,58
5,Relax,94,27,2147483647,91
6,Relax,3,66,85,80
6,Relax,17,32,70,60
6,Relax,66,58,84,81
