Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,59,,,,,,0
1,Relax,59,18,2147483647,19,42,61,1
2,Relax,59,39,2147483647,17,21,38,2
3,Pop,39,,,,,,1
4,Relax,39,55,2147483647,23,5,28,2
5,Pop,55,,,,,,1
6,Relax,55,17,2147483647,29,43,72,2
7,Relax,55,98,2147483647,31,38,69,3
8,Relax,55,93,2147483647,37,33,70,4
9,Relax,55,46,2147483647,24,14,38,5
10,Pop,46,,,,,,4
11,Relax,46,37,2147483647,29,23,52,5
12,Pop,37,,,,,,4
13,Relax,37,58,2147483647,31,2,33,5
14,Relax,37,92,2147483647,40,32,72,6
15,Pop,58,,,,,,5
16,Relax,58,62,2147483647,38,2,40,6
17,Pop,62,,,,,,5
18,Relax,62,5,2147483647,40,55,95,6
19,Relax,62,31,2147483647,58,29,87,7
20,Pop,18,,,,,,6
21,Relax,18,51,2147483647,20,9,29,7
22,Relax,18,85,2147483647,34,25,59,8
23,Pop,51,,,,,,7
24,Relax,51,41,2147483647,21,19,40,8
25,Relax,51,92,40,22,32,54,9
26,Pop,41,,,,,,8
27,Pop,92,,,,,,7
28,Relax,92,71,2147483647,37,11,48,8
29,Relax,92,10,2147483647,29,50,79,9
30,Relax,92,93,37,27,33,60,10
31,Pop,71,,,,,,9
32,Relax,71,86,2147483647,40,26,66,10
33,Pop,85,,,,,,9
34,Pop,93,,,,,,8
35,Relax,93,81,2147483647,34,21,55,9
36,Pop,81,,,,,,8
37,Relax,81,49,2147483647,45,11,56,9
38,Relax,81,66,2147483647,37,6,43,10
39,Relax,81,90,2147483647,36,30,66,11
40,Pop,66,,,,,,10
41,Relax,66,67,2147483647,53,7,60,11
42,Pop,49,,,,,,10
43,Relax,49,36,2147483647,54,24,78,11
44,Relax,49,9,2147483647,59,51,110,12
45,Pop,67,,,,,,11
46,Relax,67,28,2147483647,68,32,100,12
47,Pop,86,,,,,,11
48,Relax,86,50,2147483647,45,10,55,12
49,Pop,50,,,,,,11
50,Relax,50,64,2147483647,53,4,57,12
51,Relax,50,56,2147483647,58,4,62,13
52,Relax,50,26,2147483647,60,34,94,14
53,Relax,50,76,2147483647,52,16,68,15
54,Relax,50,45,2147483647,57,15,72,16
55,Pop,64,,,,,,15
56,Pop,56,,,,,,14
57,Relax,56,29,2147483647,74,31,105,15
58,Pop,90,,,,,,14
59,Relax,90,22,2147483647,37,38,75,15
60,Relax,90,30,2147483647,42,30,72,16
61,Pop,76,,,,,,15
62,Relax,76,0,2147483647,63,60,123,16
63,Relax,76,23,2147483647,72,37,109,17
64,Pop,98,,,,,,16
65,Relax,98,50,45,36,10,46,17
66,Pop,17,,,,,,14
67,Relax,17,65,2147483647,31,5,36,15
68,Relax,17,14,2147483647,39,46,85,16
69,Pop,65,,,,,,15
70,Pop,45,,,,,,13
71,Relax,45,70,2147483647,61,10,71,14
72,Pop,70,,,,,,13
73,Relax,70,35,2147483647,75,25,100,14
74,Relax,70,29,74,66,31,97,15
75,Pop,30,,,,,,14
76,Relax,30,82,2147483647,59,22,81,15
77,Pop,22,,,,,,14
78,Relax,22,89,2147483647,51,29,80,15
79,Pop,36,,,,,,14
80,Relax,36,48,2147483647,66,12,78,15
81,Relax,36,15,2147483647,56,45,101,16
82,Pop,48,,,,,,15
83,Relax,48,43,2147483647,80,17,97,16
84,Pop,10,,,,,,15
85,Relax,10,26,60,45,34,79,16
86,Pop,26,,,,,,15
87,Relax,26,48,66,59,12,71,16
88,Pop,89,,,,,,14
89,Relax,89,80,2147483647,68,20,88,15
90,Relax,89,19,2147483647,53,41,94,16
91,Pop,82,,,,,,15
92,Relax,82,78,2147483647,62,18,80,16
93,Relax,82,47,2147483647,60,13,73,17
94,Pop,47,,,,,,16
95,Relax,47,12,2147483647,74,48,122,17
96,Pop,78,,,,,,16
97,Relax,78,73,2147483647,64,13,77,17
98,Relax,78,75,2147483647,76,15,91,18
99,Pop,73,,,,,,17
100,Pop,14,,,,,,16
101,Pop,31,,,,,,15
102,Relax,31,74,2147483647,76,14,90,16
103,Relax,31,61,2147483647,75,1,76,17
104,Pop,61,,,,,,16
105,Relax,61,42,2147483647,85,18,103,17
106,Pop,80,,,,,,16
107,Pop,74,,,,,,15
108,Relax,74,2,2147483647,84,58,142,16
109,Pop,75,,,,,,15
110,Relax,75,24,2147483647,91,36,127,16
111,Pop,19,,,,,,15
112,Relax,19,11,2147483647,63,49,112,16
113,Pop,5,,,,,,14
114,Pop,43,,,,,,13
115,Pop,29,,,,,,12
116,Relax,29,38,2147483647,78,22,100,13
117,Relax,29,7,2147483647,72,53,125,14
118,Pop,28,,,,,,13
119,Relax,28,96,2147483647,82,36,118,14
120,Pop,35,,,,,,13
121,Relax,35,52,2147483647,79,8,87,14
122,Pop,52,,,,,,13
123,Pop,38,,,,,,12
124,Relax,38,27,2147483647,83,33,116,13
125,Pop,15,,,,,,12
126,Relax,15,83,2147483647,73,23,96,13
127,Pop,83,,,,,,12
128,Pop,42,,,,,,11
129,Relax,42,34,2147483647,93,26,119,12
130,Pop,23,,,,,,10
131,Pop,9,,,,,,9
132,Pop,11,,,,,,8
133,Relax,11,21,2147483647,68,39,107,9
134,Relax,11,79,2147483647,73,19,92,10
135,Pop,79,,,,,,9
136,Relax,79,91,2147483647,78,31,109,10
137,Pop,21,,,,,,9
138,Relax,21,94,2147483647,78,34,112,10
139,Pop,91,,,,,,9
140,Pop,94,,,,,,8
141,Relax,94,3,2147483647,90,57,147,9
142,Pop,27,,,,,,8
143,Pop,96,,,,,,7
144,Pop,34,,,,,,6
145,Pop,12,,,,,,5
146,Relax,12,20,2147483647,94,40,134,6
147,Relax,12,8,2147483647,84,52,136,7
148,Pop,0,,,,,,6
149,Relax,0,7,72,71,53,124,7
150,Pop,7,,,,,,6
151,Relax,7,95,2147483647,87,35,122,7
152,Pop,95,,,,,,6
153,Relax,95,44,2147483647,104,16,120,7
154,Pop,44,,,,,,6
155,Relax,44,6,2147483647,110,54,164,7
156,Pop,24,,,,,,5
157,Relax,24,68,2147483647,106,8,114,6
158,Pop,68,,,,,,5
159,Relax,68,84,2147483647,111,24,135,6
160,Pop,20,,,,,,5
161,Pop,84,,,,,,4
162,Pop,8,,,,,,3
163,Pop,2,,,,,,2
164,Pop,3,,,,,,1
165,Relax,3,1,2147483647,101,59,160,2
166,Pop,1,,,,,,1
167,Pop,6,,,,,,0
