Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,109,0,1
2,ColorAssign,0,184,0,1
3,ColorAssign,0,349,0,1
4,ColorAssign,0,418,0,1
5,ColorAssign,0,4,0,1
6,ColorAssign,0,19,0,1
7,ColorAssign,0,43,0,1
8,ColorAssign,0,141,0,1
9,ColorAssign,0,266,0,1
10,ColorAssign,109,21,1,0
11,ColorAssign,109,57,1,0
12,ColorAssign,109,88,1,0
13,ColorAssign,109,335,1,0
14,ColorAssign,109,404,1,0
15,ColorAssign,109,120,1,0
16,ColorAssign,109,206,1,0
17,ColorAssign,109,216,1,0
18,ColorAssign,109,461,1,0
19,ColorAssign,109,492,1,0
20,ColorAssign,184,85,1,0
21,ColorAssign,184,98,1,0
22,ColorAssign,184,30,1,0
23,ColorAssign,184,274,1,0
24,ColorAssign,184,338,1,0
25,ColorAssign,184,401,1,0
26,ColorAssign,184,428,1,0
27,ColorAssign,184,476,1,0
28,ColorAssign,184,189,1,0
29,ColorAssign,184,497,1,0
30,ColorAssign,349,192,1,0
31,ColorAssign,349,270,1,0
32,ColorAssign,349,24,1,0
33,ColorAssign,349,105,1,0
34,ColorAssign,349,133,1,0
35,ColorAssign,349,387,1,0
36,ColorAssign,349,360,1,0
37,ColorAssign,418,13,1,0
38,ColorAssign,418,110,1,0
39,ColorAssign,418,137,1,0
40,ColorAssign,418,185,1,0
41,ColorAssign,418,221,1,0
42,ColorAssign,418,342,1,0
43,ColorAssign,418,147,1,0
44,ColorAssign,418,285,1,0
45,ColorAssign,418,421,1,0
46,ColorAssign,4,121,1,0
47,ColorAssign,4,255,1,0
48,ColorAssign,4,268,1,0
49,ColorAssign,4,287,1,0
50,ColorAssign,4,77,1,0
51,ColorAssign,4,201,1,0
52,ColorAssign,4,265,1,0
53,ColorAssign,4,295,1,0
54,ColorAssign,4,316,1,0
55,ColorAssign,19,211,1,0
56,ColorAssign,19,310,1,0
57,ColorAssign,19,314,1,0
58,ColorAssign,19,318,1,0
59,ColorAssign,19,414,1,0
60,ColorAssign,19,47,1,0
61,ColorAssign,19,116,1,0
62,ColorAssign,19,168,1,0
63,ColorAssign,19,429,1,0
64,ColorAssign,19,440,1,0
65,ColorAssign,19,460,1,0
66,ColorAssign,43,39,1,0
67,ColorAssign,43,20,1,0
68,ColorAssign,43,54,1,0
69,ColorAssign,43,126,1,0
70,ColorAssign,43,378,1,0
71,ColorAssign,43,471,1,0
72,ColorAssign,43,113,1,0
73,ColorAssign,43,165,1,0
74,ColorAssign,43,179,1,0
75,ColorAssign,43,191,1,0
76,ColorAssign,43,343,1,0
77,ColorAssign,43,458,1,0
78,ColorAssign,141,31,1,0
79,ColorAssign,141,73,1,0
80,ColorAssign,141,215,1,0
81,ColorAssign,141,231,1,0
82,ColorAssign,141,491,1,0
83,ColorAssign,141,294,1,0
84,ColorAssign,141,296,1,0
85,ColorAssign,141,452,1,0
86,ColorAssign,266,199,1,0
87,ColorAssign,266,346,1,0
88,ColorAssign,266,364,1,0
89,ColorAssign,266,454,1,0
90,ColorAssign,21,9,0,1
91,ColorAssign,21,55,0,1
92,ColorAssign,21,79,0,1
93,ColorAssign,21,132,0,1
94,ColorAssign,21,182,0,1
95,ColorAssign,21,186,0,1
96,Conflict,21,296,0,0
