Iteration,Action,U,V,OldDist,NewDist
1,Relax,328,2,2147483647,16
1,Relax,328,146,2147483647,8
1,Relax,328,148,2147483647,12
1,Relax,328,408,2147483647,11
1,Relax,328,26,2147483647,11
1,Relax,328,155,2147483647,1
1,Relax,328,413,2147483647,4
1,Relax,328,35,2147483647,13
1,Relax,328,420,2147483647,10
1,Relax,328,423,2147483647,15
1,Relax,328,424,2147483647,18
1,Relax,328,41,2147483647,10
1,Relax,328,172,2147483647,14
1,Relax,328,302,2147483647,2
1,Relax,328,304,2147483647,16
1,Relax,328,51,2147483647,3
1,Relax,328,436,2147483647,15
1,Relax,328,438,2147483647,19
1,Relax,328,440,2147483647,2
1,Relax,328,446,2147483647,11
1,Relax,328,194,2147483647,2
1,Relax,328,450,2147483647,18
1,Relax,328,71,2147483647,11
1,Relax,328,199,2147483647,2
1,Relax,328,72,2147483647,3
1,Relax,328,74,2147483647,19
1,Relax,328,462,2147483647,14
1,Relax,328,81,2147483647,9
1,Relax,328,212,2147483647,20
1,Relax,328,340,2147483647,3
1,Relax,328,469,2147483647,16
1,Relax,328,342,2147483647,12
1,Relax,328,89,2147483647,1
1,Relax,328,220,2147483647,2
1,Relax,328,93,2147483647,9
1,Relax,328,221,2147483647,17
1,Relax,328,99,2147483647,7
1,Relax,328,101,2147483647,14
1,Relax,328,359,2147483647,4
1,Relax,328,361,2147483647,15
1,Relax,328,107,2147483647,19
1,Relax,328,364,2147483647,1
1,Relax,328,492,2147483647,16
1,Relax,328,109,2147483647,5
1,Relax,328,367,2147483647,1
1,Relax,328,243,2147483647,12
1,Relax,328,371,2147483647,13
1,Relax,328,245,2147483647,19
1,Relax,328,373,2147483647,9
1,Relax,328,379,2147483647,3
1,Relax,328,126,2147483647,5
1,Relax,340,384,2147483647,22
1,Relax,340,385,2147483647,17
1,Relax,340,130,2147483647,6
1,Relax,340,261,2147483647,16
1,Relax,340,135,2147483647,12
1,Relax,340,142,2147483647,12
1,Relax,340,273,2147483647,20
1,Relax,340,19,2147483647,18
1,Relax,340,149,2147483647,11
1,Relax,340,151,2147483647,18
1,Relax,340,279,2147483647,23
1,Relax,340,153,2147483647,13
1,Relax,340,157,2147483647,22
1,Relax,340,159,2147483647,4
1,Relax,340,415,2147483647,14
1,Relax,340,288,2147483647,10
1,Relax,340,290,2147483647,13
1,Relax,340,36,2147483647,11
1,Relax,340,420,10,4
1,Relax,340,38,2147483647,22
1,Relax,340,423,15,10
1,Relax,340,170,2147483647,23
1,Relax,340,299,2147483647,9
1,Relax,340,50,2147483647,13
1,Relax,340,434,2147483647,13
1,Relax,340,182,2147483647,20
1,Relax,340,56,2147483647,15
1,Relax,340,441,2147483647,6
1,Relax,340,186,2147483647,15
1,Relax,340,314,2147483647,8
1,Relax,340,60,2147483647,9
1,Relax,340,449,2147483647,4
1,Relax,340,67,2147483647,11
1,Relax,340,454,2147483647,4
1,Relax,340,327,2147483647,13
1,Relax,340,73,2147483647,8
1,Relax,340,459,2147483647,8
1,Relax,340,205,2147483647,23
1,Relax,340,208,2147483647,6
1,Relax,340,336,2147483647,18
1,Relax,340,83,2147483647,8
1,Relax,340,468,2147483647,16
1,Relax,340,86,2147483647,12
1,Relax,340,470,2147483647,9
1,Relax,340,91,2147483647,14
1,Relax,340,476,2147483647,18
1,Relax,340,98,2147483647,20
1,Relax,340,484,2147483647,12
1,Relax,340,487,2147483647,4
1,Relax,340,488,2147483647,4
1,Relax,340,491,2147483647,11
1,Relax,340,236,2147483647,20
1,Relax,340,497,2147483647,9
1,Relax,340,498,2147483647,21
1,Relax,340,115,2147483647,22
1,Relax,340,499,2147483647,9
1,Relax,340,121,2147483647,13
1,Relax,340,124,2147483647,13
1,Relax,340,381,2147483647,14
1,Relax,342,387,2147483647,21
1,Relax,342,4,2147483647,27
1,Relax,342,388,2147483647,29
1,Relax,342,8,2147483647,28
1,Relax,342,265,2147483647,19
1,Relax,342,138,2147483647,22
1,Relax,342,266,2147483647,22
1,Relax,342,13,2147483647,27
1,Relax,342,144,2147483647,13
1,Relax,342,401,2147483647,24
1,Relax,342,402,2147483647,26
1,Relax,342,22,2147483647,32
1,Relax,342,278,2147483647,30
1,Relax,342,24,2147483647,15
1,Relax,342,282,2147483647,17
1,Relax,342,28,2147483647,17
1,Relax,342,34,2147483647,14
1,Relax,342,37,2147483647,16
1,Relax,342,166,2147483647,31
1,Relax,342,425,2147483647,15
1,Relax,342,173,2147483647,18
1,Relax,342,305,2147483647,16
1,Relax,342,178,2147483647,24
1,Relax,342,52,2147483647,29
1,Relax,342,53,2147483647,32
1,Relax,342,442,2147483647,18
1,Relax,342,187,2147483647,13
1,Relax,342,188,2147483647,25
1,Relax,342,321,2147483647,21
1,Relax,342,457,2147483647,18
1,Relax,342,331,2147483647,30
1,Relax,342,85,2147483647,21
1,Relax,342,341,2147483647,18
1,Relax,342,87,2147483647,15
1,Relax,342,471,2147483647,20
1,Relax,342,219,2147483647,16
1,Relax,342,349,2147483647,26
1,Relax,342,97,2147483647,13
1,Relax,342,227,2147483647,23
1,Relax,342,485,2147483647,15
1,Relax,342,486,2147483647,17
1,Relax,342,104,2147483647,26
1,Relax,342,105,2147483647,27
1,Relax,342,112,2147483647,31
1,Relax,342,496,2147483647,26
1,Relax,342,120,2147483647,24
1,Relax,342,250,2147483647,23
1,Relax,342,254,2147483647,20
1,Relax,349,196,2147483647,45
1,Relax,349,7,2147483647,27
1,Relax,349,391,2147483647,33
1,Relax,349,200,2147483647,39
1,Relax,349,264,2147483647,32
1,Relax,349,335,2147483647,42
1,Relax,349,463,2147483647,41
1,Relax,349,400,2147483647,28
1,Relax,349,147,2147483647,33
1,Relax,349,339,2147483647,36
1,Relax,349,84,2147483647,43
1,Relax,349,404,2147483647,33
1,Relax,349,344,2147483647,36
1,Relax,349,409,2147483647,43
1,Relax,349,410,2147483647,29
1,Relax,349,477,2147483647,44
1,Relax,349,95,2147483647,27
1,Relax,349,418,2147483647,29
1,Relax,349,360,2147483647,41
1,Relax,349,44,2147483647,34
1,Relax,349,48,2147483647,40
1,Relax,349,177,2147483647,34
1,Relax,349,437,2147483647,31
1,Relax,349,54,2147483647,40
1,Relax,349,310,2147483647,29
1,Relax,349,57,2147483647,45
1,Relax,349,317,2147483647,37
1,Relax,349,383,2147483647,45
1,Relax,359,385,17,6
1,Relax,359,258,2147483647,9
1,Relax,359,323,2147483647,6
1,Relax,359,388,29,7
1,Relax,359,392,2147483647,22
1,Relax,359,393,2147483647,19
1,Relax,359,401,24,12
1,Relax,359,275,2147483647,15
1,Relax,359,278,30,23
1,Relax,359,472,2147483647,21
1,Relax,359,347,2147483647,15
1,Relax,359,225,2147483647,15
1,Relax,359,482,2147483647,19
1,Relax,359,100,2147483647,8
1,Relax,359,164,2147483647,15
1,Relax,359,356,2147483647,24
1,Relax,359,230,2147483647,7
1,Relax,359,358,2147483647,15
1,Relax,359,231,2147483647,11
1,Relax,359,300,2147483647,8
1,Relax,359,44,34,7
1,Relax,359,175,2147483647,12
1,Relax,359,240,2147483647,6
1,Relax,359,50,13,5
1,Relax,359,437,31,21
1,Relax,359,246,2147483647,20
1,Relax,359,54,40,24
1,Relax,359,310,29,7
1,Relax,359,56,15,5
1,Relax,359,250,23,20
1,Relax,359,378,2147483647,6
1,Relax,360,64,2147483647,61
1,Relax,360,1,2147483647,50
1,Relax,360,131,2147483647,56
1,Relax,360,133,2147483647,52
1,Relax,360,5,2147483647,60
1,Relax,360,329,2147483647,56
1,Relax,360,10,2147483647,51
1,Relax,360,76,2147483647,45
1,Relax,360,79,2147483647,60
1,Relax,360,274,2147483647,47
1,Relax,360,211,2147483647,47
1,Relax,360,403,2147483647,44
1,Relax,360,405,2147483647,51
1,Relax,360,27,2147483647,52
1,Relax,360,411,2147483647,56
1,Relax,360,352,2147483647,43
1,Relax,360,233,2147483647,43
1,Relax,360,365,2147483647,51
1,Relax,360,110,2147483647,56
1,Relax,360,494,2147483647,53
1,Relax,360,179,2147483647,46
1,Relax,360,311,2147483647,43
1,Relax,360,185,2147483647,47
1,Relax,360,377,2147483647,45
1,Relax,360,61,2147483647,55
1,Relax,361,0,2147483647,20
1,Relax,361,384,22,16
1,Relax,361,1,50,33
1,Relax,361,4,27,23
1,Relax,361,390,2147483647,17
1,Relax,361,138,22,19
1,Relax,361,396,2147483647,19
1,Relax,361,269,2147483647,20
1,Relax,361,398,2147483647,18
1,Relax,361,277,2147483647,34
1,Relax,361,31,2147483647,23
1,Relax,361,298,2147483647,16
1,Relax,361,46,2147483647,30
1,Relax,361,49,2147483647,16
1,Relax,361,444,2147483647,32
1,Relax,361,189,2147483647,29
1,Relax,361,445,2147483647,24
1,Relax,361,190,2147483647,29
1,Relax,361,319,2147483647,34
1,Relax,361,64,61,32
1,Relax,361,322,2147483647,26
1,Relax,361,195,2147483647,31
1,Relax,361,331,30,20
1,Relax,361,77,2147483647,32
1,Relax,361,78,2147483647,26
1,Relax,361,334,2147483647,22
1,Relax,361,349,26,21
1,Relax,361,354,2147483647,29
1,Relax,361,355,2147483647,19
1,Relax,361,106,2147483647,22
1,Relax,361,495,2147483647,33
1,Relax,361,242,2147483647,35
1,Relax,361,370,2147483647,35
1,Relax,361,244,2147483647,17
1,Relax,361,383,45,20
1,Relax,364,0,20,9
1,Relax,364,257,2147483647,19
1,Relax,364,322,26,12
1,Relax,364,66,2147483647,19
1,Relax,364,204,2147483647,17
1,Relax,364,396,19,15
1,Relax,364,206,2147483647,17
1,Relax,364,78,26,6
1,Relax,364,82,2147483647,4
1,Relax,364,275,15,10
1,Relax,364,84,43,15
1,Relax,364,22,32,3
1,Relax,364,150,2147483647,5
1,Relax,364,216,2147483647,9
1,Relax,364,156,2147483647,20
1,Relax,364,349,21,2
1,Relax,364,414,2147483647,13
1,Relax,364,478,2147483647,4
1,Relax,364,353,2147483647,21
1,Relax,364,161,2147483647,13
1,Relax,364,163,2147483647,20
1,Relax,364,227,23,13
1,Relax,364,356,24,19
1,Relax,364,102,2147483647,5
1,Relax,364,166,31,6
1,Relax,364,422,2147483647,5
1,Relax,364,105,27,9
1,Relax,364,171,2147483647,18
1,Relax,364,363,2147483647,17
1,Relax,364,299,9,3
1,Relax,364,237,2147483647,21
1,Relax,364,366,2147483647,10
1,Relax,364,111,2147483647,12
1,Relax,364,434,13,10
1,Relax,364,244,17,10
1,Relax,364,248,2147483647,16
1,Relax,364,442,18,5
1,Relax,364,187,13,12
1,Relax,364,251,2147483647,14
1,Relax,365,134,2147483647,52
1,Relax,365,326,2147483647,61
1,Relax,365,407,2147483647,52
1,Relax,365,345,2147483647,61
1,Relax,365,474,2147483647,68
1,Relax,365,412,2147483647,59
1,Relax,365,285,2147483647,68
1,Relax,365,351,2147483647,71
1,Relax,365,483,2147483647,54
1,Relax,365,232,2147483647,65
1,Relax,365,489,2147483647,63
1,Relax,365,430,2147483647,57
1,Relax,365,431,2147483647,61
1,Relax,365,308,2147483647,61
1,Relax,365,372,2147483647,67
1,Relax,365,309,2147483647,65
1,Relax,366,129,2147483647,18
1,Relax,366,389,2147483647,21
1,Relax,366,391,33,27
1,Relax,366,136,2147483647,15
1,Relax,366,402,26,24
1,Relax,366,20,2147483647,29
1,Relax,366,278,23,15
1,Relax,366,286,2147483647,30
1,Relax,366,421,2147483647,24
1,Relax,366,38,22,19
1,Relax,366,295,2147483647,11
1,Relax,366,168,2147483647,24
1,Relax,366,296,2147483647,19
1,Relax,366,301,2147483647,24
1,Relax,366,430,57,30
1,Relax,366,177,34,22
1,Relax,366,54,24,16
1,Relax,366,70,2147483647,21
1,Relax,366,200,39,14
1,Relax,366,329,56,11
1,Relax,366,204,17,13
1,Relax,366,334,22,12
1,Relax,366,210,2147483647,21
1,Relax,366,213,2147483647,14
1,Relax,366,217,2147483647,15
1,Relax,366,473,2147483647,12
1,Relax,366,218,2147483647,29
1,Relax,366,357,2147483647,22
1,Relax,366,362,2147483647,21
1,Relax,366,370,35,29
1,Relax,366,374,2147483647,28
1,Relax,367,0,9,6
1,Relax,367,132,2147483647,17
1,Relax,367,261,16,10
1,Relax,367,8,28,4
1,Relax,367,332,2147483647,10
1,Relax,367,13,27,5
1,Relax,367,210,21,10
1,Relax,367,411,56,19
1,Relax,367,412,59,20
1,Relax,367,29,2147483647,18
1,Relax,367,223,2147483647,3
1,Relax,367,416,2147483647,10
1,Relax,367,225,15,6
1,Relax,367,289,2147483647,14
1,Relax,367,293,2147483647,12
1,Relax,367,169,2147483647,4
1,Relax,367,298,16,4
1,Relax,367,363,17,6
1,Relax,367,429,2147483647,11
1,Relax,367,46,30,16
1,Relax,367,178,24,8
1,Relax,367,115,22,17
1,Relax,367,437,21,20
1,Relax,367,310,7,2
1,Relax,367,248,16,4
1,Relax,367,250,20,19
1,Relax,367,123,2147483647,6
1,Relax,367,381,14,7
1,Relax,367,127,2147483647,21
1,Relax,370,3,2147483647,30
1,Relax,370,133,52,39
1,Relax,370,262,2147483647,34
1,Relax,370,272,2147483647,39
1,Relax,370,158,2147483647,45
1,Relax,370,33,2147483647,47
1,Relax,370,294,2147483647,34
1,Relax,370,432,2147483647,35
1,Relax,370,433,2147483647,37
1,Relax,370,439,2147483647,48
1,Relax,370,447,2147483647,43
1,Relax,370,69,2147483647,34
1,Relax,370,453,2147483647,34
1,Relax,370,198,2147483647,48
1,Relax,370,214,2147483647,35
1,Relax,370,474,68,34
1,Relax,370,222,2147483647,38
1,Relax,370,241,2147483647,36
