Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,17,,,,,,0
1,Relax,17,16,2147483647,8,2,10,1
2,Relax,17,80,2147483647,15,62,77,2
3,Relax,17,98,2147483647,7,80,87,3
4,Relax,17,82,2147483647,9,64,73,4
5,Relax,17,5,2147483647,15,13,28,5
6,Relax,17,6,2147483647,2,12,14,6
7,Relax,17,39,2147483647,13,21,34,7
8,Relax,17,91,2147483647,5,73,78,8
9,Relax,17,93,2147483647,12,75,87,9
10,Relax,17,79,2147483647,19,61,80,10
11,Relax,17,95,2147483647,14,77,91,11
12,Pop,16,,,,,,10
13,Relax,16,66,2147483647,16,48,64,11
14,Relax,16,34,2147483647,27,16,43,12
15,Relax,16,37,2147483647,28,19,47,13
16,Relax,16,55,2147483647,9,37,46,14
17,Relax,16,59,2147483647,10,41,51,15
18,Relax,16,78,2147483647,18,60,78,16
19,Pop,6,,,,,,15
20,Relax,6,32,2147483647,17,14,31,16
21,Relax,6,81,2147483647,10,63,73,17
22,Relax,6,35,2147483647,3,17,20,18
23,Relax,6,87,2147483647,13,69,82,19
24,Relax,6,26,2147483647,14,8,22,20
25,Relax,6,76,2147483647,14,58,72,21
26,Relax,6,92,2147483647,14,74,88,22
27,Pop,35,,,,,,21
28,Relax,35,97,2147483647,19,79,98,22
29,Relax,35,50,2147483647,4,32,36,23
30,Relax,35,83,2147483647,8,65,73,24
31,Relax,35,26,14,4,8,12,25
32,Relax,35,74,2147483647,15,56,71,26
33,Relax,35,31,2147483647,8,13,21,27
34,Relax,35,47,2147483647,7,29,36,28
35,Relax,35,63,2147483647,4,45,49,29
36,Pop,26,,,,,,28
37,Relax,26,32,17,13,14,27,29
38,Relax,26,65,2147483647,16,47,63,30
39,Relax,26,3,2147483647,20,15,35,31
40,Relax,26,67,2147483647,11,49,60,32
41,Relax,26,25,2147483647,18,7,25,33
42,Relax,26,73,2147483647,5,55,60,34
43,Pop,31,,,,,,33
44,Relax,31,33,2147483647,16,15,31,34
45,Relax,31,10,2147483647,11,8,19,35
46,Relax,31,75,2147483647,13,57,70,36
47,Relax,31,28,2147483647,26,10,36,37
48,Relax,31,13,2147483647,15,5,20,38
49,Relax,31,14,2147483647,11,4,15,39
50,Pop,14,,,,,,38
51,Relax,14,0,2147483647,14,18,32,39
52,Relax,14,19,2147483647,21,1,22,40
53,Relax,14,68,2147483647,20,50,70,41
54,Relax,14,24,2147483647,22,6,28,42
55,Relax,14,41,2147483647,15,23,38,43
56,Pop,10,,,,,,42
57,Relax,10,96,2147483647,17,78,95,43
58,Relax,10,48,2147483647,21,30,51,44
59,Relax,10,51,2147483647,23,33,56,45
60,Relax,10,42,2147483647,29,24,53,46
61,Relax,10,74,15,12,56,68,47
62,Relax,10,27,2147483647,26,9,35,48
63,Pop,13,,,,,,47
64,Relax,13,64,2147483647,33,46,79,48
65,Relax,13,2,2147483647,34,16,50,49
66,Relax,13,71,2147483647,21,53,74,50
67,Relax,13,8,2147483647,33,10,43,51
68,Relax,13,57,2147483647,23,39,62,52
69,Relax,13,42,29,23,24,47,53
70,Relax,13,30,2147483647,24,12,36,54
71,Pop,19,,,,,,52
72,Relax,19,4,2147483647,35,14,49,53
73,Relax,19,85,2147483647,39,67,106,54
74,Relax,19,43,2147483647,27,25,52,55
75,Relax,19,62,2147483647,23,44,67,56
76,Pop,25,,,,,,55
77,Relax,25,64,33,24,46,70,56
78,Relax,25,38,2147483647,37,20,57,57
79,Relax,25,54,2147483647,25,36,61,58
80,Relax,25,89,2147483647,26,71,97,59
81,Relax,25,45,2147483647,24,27,51,60
82,Pop,32,,,,,,59
83,Relax,32,1,2147483647,26,17,43,60
84,Relax,32,85,39,23,67,90,61
85,Relax,32,90,2147483647,20,72,92,62
86,Pop,5,,,,,,61
87,Relax,5,49,2147483647,32,31,63,62
88,Relax,5,34,27,17,16,33,63
89,Relax,5,54,25,18,36,54,64
90,Relax,5,60,2147483647,27,42,69,65
91,Relax,5,61,2147483647,20,43,63,66
92,Pop,24,,,,,,65
93,Relax,24,22,2147483647,38,4,42,66
94,Relax,24,94,2147483647,26,76,102,67
95,Pop,33,,,,,,65
96,Relax,33,7,2147483647,19,11,30,66
97,Relax,33,46,2147483647,19,28,47,67
98,Pop,7,,,,,,66
99,Relax,7,40,2147483647,21,22,43,67
100,Relax,7,77,2147483647,28,59,87,68
101,Relax,7,86,2147483647,20,68,88,69
102,Relax,7,88,2147483647,30,70,100,70
103,Pop,0,,,,,,69
104,Relax,0,1,26,17,17,34,70
105,Relax,0,85,23,22,67,89,71
106,Pop,34,,,,,,70
107,Relax,34,37,28,20,19,39,71
108,Relax,34,12,2147483647,19,6,25,72
109,Relax,34,77,28,18,59,77,73
110,Relax,34,30,24,19,12,31,74
111,Pop,12,,,,,,73
112,Relax,12,94,26,24,76,100,74
113,Pop,30,,,,,,73
114,Relax,30,36,2147483647,30,18,48,74
115,Relax,30,8,33,20,10,30,75
116,Relax,30,29,2147483647,23,11,34,76
117,Pop,8,,,,,,75
118,Relax,8,72,2147483647,35,54,89,76
119,Relax,8,49,32,29,31,60,77
120,Relax,8,27,26,23,9,32,78
121,Relax,8,62,23,21,44,65,79
122,Pop,27,,,,,,78
123,Relax,27,69,2147483647,41,51,92,79
124,Relax,27,72,35,34,54,88,80
125,Relax,27,9,2147483647,32,9,41,81
126,Pop,1,,,,,,80
127,Relax,1,23,2147483647,23,5,28,81
128,Relax,1,9,32,27,9,36,82
129,Relax,1,12,19,18,6,24,83
130,Relax,1,94,24,23,76,99,84
131,Pop,23,,,,,,82
132,Relax,23,21,2147483647,29,3,32,83
133,Relax,23,70,2147483647,24,52,76,84
134,Pop,21,,,,,,83
135,Relax,21,20,2147483647,42,2,44,84
136,Relax,21,52,2147483647,48,34,82,85
137,Relax,21,11,2147483647,44,7,51,86
138,Relax,21,15,2147483647,44,3,47,87
139,Pop,29,,,,,,86
140,Relax,29,18,2147483647,28,0,28,87
141,Relax,29,99,2147483647,35,81,116,88
142,Pop,18,,,,,,87
143,ReachedGoal,18,,,,,,87
