Iteration,Action,U,V,OldDist,NewDist
1,Relax,30,97,2147483647,9
1,Relax,30,52,2147483647,15
1,Relax,30,69,2147483647,13
1,Relax,30,24,2147483647,15
1,Relax,30,9,2147483647,14
1,Relax,30,41,2147483647,5
1,Relax,30,90,2147483647,19
1,Relax,30,27,2147483647,6
1,Relax,30,92,2147483647,20
1,Relax,30,94,2147483647,15
1,Relax,41,49,2147483647,17
1,Relax,41,81,2147483647,15
1,Relax,41,67,2147483647,21
1,Relax,41,38,2147483647,23
1,Relax,41,43,2147483647,16
1,Relax,41,59,2147483647,11
1,Relax,41,13,2147483647,9
1,Relax,41,29,2147483647,7
1,Relax,41,31,2147483647,15
1,Relax,41,63,2147483647,12
1,Relax,43,34,2147483647,27
1,Relax,43,84,2147483647,26
1,Relax,43,21,2147483647,18
1,Relax,43,23,2147483647,18
1,Relax,43,87,2147483647,18
1,Relax,43,60,2147483647,25
1,Relax,43,79,2147483647,33
1,Relax,49,17,2147483647,23
1,Relax,49,65,2147483647,28
1,Relax,49,18,2147483647,21
1,Relax,49,86,2147483647,24
1,Relax,49,56,2147483647,29
1,Relax,49,57,2147483647,29
1,Relax,49,26,2147483647,18
1,Relax,49,91,2147483647,32
1,Relax,52,1,2147483647,23
1,Relax,52,33,2147483647,24
1,Relax,52,50,2147483647,20
1,Relax,52,19,2147483647,25
1,Relax,52,36,2147483647,24
1,Relax,52,85,2147483647,27
1,Relax,52,73,2147483647,17
1,Relax,52,76,2147483647,27
1,Relax,56,22,2147483647,48
1,Relax,56,40,2147483647,42
1,Relax,57,2,2147483647,32
1,Relax,57,83,2147483647,30
1,Relax,57,99,2147483647,36
1,Relax,57,4,2147483647,47
1,Relax,57,54,2147483647,39
1,Relax,57,47,2147483647,31
1,Relax,59,0,2147483647,23
1,Relax,59,80,2147483647,19
1,Relax,59,96,2147483647,24
1,Relax,59,4,47,17
1,Relax,59,70,2147483647,14
1,Relax,59,87,18,13
1,Relax,59,44,2147483647,28
1,Relax,59,28,2147483647,25
1,Relax,60,37,2147483647,37
1,Relax,60,8,2147483647,40
1,Relax,60,14,2147483647,44
1,Relax,63,32,2147483647,32
1,Relax,63,35,2147483647,20
1,Relax,63,58,2147483647,29
1,Relax,65,64,2147483647,44
1,Relax,65,68,2147483647,37
1,Relax,65,6,2147483647,31
1,Relax,65,12,2147483647,30
1,Relax,65,46,2147483647,48
1,Relax,65,55,2147483647,38
1,Relax,65,61,2147483647,37
1,Relax,65,95,2147483647,48
1,Relax,67,3,2147483647,29
1,Relax,67,7,2147483647,29
1,Relax,67,8,40,30
1,Relax,67,15,2147483647,38
1,Relax,68,66,2147483647,43
1,Relax,68,82,2147483647,42
1,Relax,68,72,2147483647,45
1,Relax,68,42,2147483647,51
1,Relax,68,78,2147483647,52
1,Relax,69,82,42,24
1,Relax,69,53,2147483647,19
1,Relax,69,22,48,17
1,Relax,69,88,2147483647,19
1,Relax,69,12,30,27
1,Relax,69,77,2147483647,16
1,Relax,70,32,32,24
1,Relax,70,98,2147483647,30
1,Relax,70,3,29,19
1,Relax,70,54,39,29
1,Relax,70,7,29,28
1,Relax,70,10,2147483647,30
1,Relax,70,42,51,23
1,Relax,73,66,43,24
1,Relax,73,20,2147483647,22
1,Relax,73,6,31,23
1,Relax,73,40,42,18
1,Relax,73,28,25,24
1,Relax,73,44,28,20
1,Relax,76,16,2147483647,36
1,Relax,76,51,2147483647,33
1,Relax,76,25,2147483647,46
1,Relax,76,89,2147483647,34
1,Relax,77,19,25,18
1,Relax,77,37,37,34
1,Relax,77,45,2147483647,33
1,Relax,79,78,52,46
1,Relax,80,38,23,20
1,Relax,80,14,44,22
1,Relax,81,32,24,18
1,Relax,81,39,2147483647,22
1,Relax,81,11,2147483647,17
1,Relax,81,46,48,16
1,Relax,81,55,38,17
1,Relax,82,68,37,29
1,Relax,82,71,2147483647,38
1,Relax,82,74,2147483647,38
1,Relax,83,62,2147483647,38
1,Relax,84,93,2147483647,45
1,Relax,85,89,34,29
1,Relax,87,51,33,31
1,Relax,87,5,2147483647,20
1,Relax,87,43,16,15
1,Relax,88,96,24,21
1,Relax,88,72,45,29
1,Relax,88,45,33,20
1,Relax,88,79,33,26
1,Relax,90,82,24,21
1,Relax,90,66,24,20
1,Relax,92,6,23,21
1,Relax,92,10,30,23
1,Relax,94,99,36,26
1,Relax,94,75,2147483647,25
1,Relax,94,14,22,19
1,Relax,94,61,37,18
1,Relax,96,16,36,25
1,Relax,97,84,26,14
1,Relax,97,7,28,14
1,Relax,97,60,25,11
1,Relax,97,76,27,11
1,Relax,97,95,48,26
1,Relax,98,93,45,33
1,Relax,99,74,38,29
2,Relax,1,93,33,26
2,Relax,2,78,46,34
2,Relax,3,64,44,24
2,Relax,3,72,29,20
2,Relax,3,15,38,35
2,Relax,4,33,24,21
2,Relax,4,65,28,25
2,Relax,4,37,34,24
2,Relax,4,85,27,20
2,Relax,4,72,20,19
2,Relax,4,15,35,19
2,Relax,6,65,25,24
2,Relax,6,58,29,25
2,Relax,7,0,23,22
2,Relax,7,83,30,17
2,Relax,9,8,30,17
2,Relax,11,39,22,20
2,Relax,13,1,23,11
2,Relax,13,89,29,16
2,Relax,13,91,32,10
2,Relax,13,31,15,11
2,Relax,14,98,30,29
2,Relax,15,10,23,20
2,Relax,16,48,2147483647,36
2,Relax,18,16,25,22
2,Relax,18,48,36,24
2,Relax,21,12,27,19
2,Relax,21,54,29,24
2,Relax,21,93,26,21
2,Relax,22,10,20,19
2,Relax,22,78,34,20
2,Relax,23,2,32,19
2,Relax,23,74,29,19
2,Relax,24,20,22,16
2,Relax,24,38,20,19
2,Relax,26,0,22,20
2,Relax,26,16,22,21
2,Relax,27,65,24,16
2,Relax,27,72,19,15
2,Relax,27,42,23,17
2,Relax,27,44,20,11
2,Relax,27,95,26,19
2,Relax,29,0,20,15
2,Relax,29,36,24,15
2,Relax,29,71,38,21
2,Relax,29,90,19,11
2,Relax,29,95,19,14
2,Relax,31,34,27,17
2,Relax,31,66,20,14
2,Relax,31,99,26,19
2,Relax,31,67,21,19
2,Relax,31,40,18,12
2,Relax,31,25,46,21
2,Relax,31,61,18,15
2,Relax,35,54,24,23
2,Relax,36,57,29,17
2,Relax,39,37,24,21
2,Relax,39,75,25,22
2,Relax,39,51,31,22
2,Relax,40,56,29,25
2,Relax,40,73,17,13
