Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,32,0,1
2,ColorAssign,0,38,0,1
3,ColorAssign,0,83,0,1
4,ColorAssign,32,4,1,0
5,ColorAssign,32,28,1,0
6,ColorAssign,32,33,1,0
7,ColorAssign,32,56,1,0
8,ColorAssign,32,60,1,0
9,ColorAssign,32,64,1,0
10,ColorAssign,32,98,1,0
11,ColorAssign,38,8,1,0
12,ColorAssign,38,54,1,0
13,ColorAssign,83,37,1,0
14,ColorAssign,4,18,0,1
15,ColorAssign,4,22,0,1
16,ColorAssign,28,68,0,1
17,ColorAssign,28,71,0,1
18,ColorAssign,28,88,0,1
19,ColorAssign,60,89,0,1
20,ColorAssign,64,5,0,1
21,ColorAssign,98,79,0,1
22,ColorAssign,8,13,0,1
23,ColorAssign,8,42,0,1
24,ColorAssign,54,76,0,1
25,ColorAssign,54,92,0,1
26,ColorAssign,18,96,1,0
27,ColorAssign,68,34,1,0
28,ColorAssign,68,35,1,0
29,ColorAssign,68,73,1,0
30,ColorAssign,68,78,1,0
31,ColorAssign,71,2,1,0
32,ColorAssign,71,93,1,0
33,ColorAssign,88,44,1,0
34,Conflict,88,13,1,1
