Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,124,,,,,,0
1,Relax,124,132,2147483647,14,7,21,1
2,Relax,124,262,2147483647,2,137,139,2
3,Relax,124,390,2147483647,15,265,280,3
4,Relax,124,7,2147483647,17,118,135,4
5,Relax,124,391,2147483647,9,266,275,5
6,Relax,124,137,2147483647,2,12,14,6
7,Relax,124,139,2147483647,18,14,32,7
8,Relax,124,268,2147483647,4,143,147,8
9,Relax,124,398,2147483647,1,273,274,9
10,Relax,124,402,2147483647,1,277,278,10
11,Relax,124,403,2147483647,8,278,286,11
12,Relax,124,148,2147483647,7,23,30,12
13,Relax,124,277,2147483647,12,152,164,13
14,Relax,124,280,2147483647,6,155,161,14
15,Relax,124,408,2147483647,9,283,292,15
16,Relax,124,281,2147483647,7,156,163,16
17,Relax,124,157,2147483647,13,32,45,17
18,Relax,124,414,2147483647,8,289,297,18
19,Relax,124,34,2147483647,13,91,104,19
20,Relax,124,35,2147483647,13,90,103,20
21,Relax,124,291,2147483647,6,166,172,21
22,Relax,124,39,2147483647,4,86,90,22
23,Relax,124,171,2147483647,3,46,49,23
24,Relax,124,428,2147483647,6,303,309,24
25,Relax,124,429,2147483647,4,304,308,25
26,Relax,124,175,2147483647,4,50,54,26
27,Relax,124,176,2147483647,20,51,71,27
28,Relax,124,177,2147483647,16,52,68,28
29,Relax,124,188,2147483647,20,63,83,29
30,Relax,124,318,2147483647,4,193,197,30
31,Relax,124,446,2147483647,19,321,340,31
32,Relax,124,64,2147483647,6,61,67,32
33,Relax,124,192,2147483647,4,67,71,33
34,Relax,124,65,2147483647,6,60,66,34
35,Relax,124,450,2147483647,19,325,344,35
36,Relax,124,326,2147483647,5,201,206,36
37,Relax,124,71,2147483647,8,54,62,37
38,Relax,124,72,2147483647,16,53,69,38
39,Relax,124,200,2147483647,19,75,94,39
40,Relax,124,331,2147483647,5,206,211,40
41,Relax,124,460,2147483647,12,335,347,41
42,Relax,124,461,2147483647,18,336,354,42
43,Relax,124,334,2147483647,6,209,215,43
44,Relax,124,340,2147483647,10,215,225,44
45,Relax,124,87,2147483647,2,38,40,45
46,Relax,124,471,2147483647,2,346,348,46
47,Relax,124,218,2147483647,20,93,113,47
48,Relax,124,347,2147483647,1,222,223,48
49,Relax,124,227,2147483647,13,102,115,49
50,Relax,124,486,2147483647,18,361,379,50
51,Relax,124,232,2147483647,15,107,122,51
52,Relax,124,107,2147483647,8,18,26,52
53,Relax,124,235,2147483647,5,110,115,53
54,Relax,124,110,2147483647,20,15,35,54
55,Relax,124,371,2147483647,19,246,265,55
56,Relax,124,116,2147483647,10,9,19,56
57,Relax,124,372,2147483647,5,247,252,57
58,Relax,124,120,2147483647,18,5,23,58
59,Relax,124,125,2147483647,17,0,17,59
60,Pop,137,,,,,,58
61,Relax,137,69,2147483647,10,56,66,59
62,Relax,137,265,2147483647,9,140,149,60
63,Relax,137,458,2147483647,10,333,343,61
64,Relax,137,16,2147483647,15,109,124,62
65,Relax,137,401,2147483647,7,276,283,63
66,Relax,137,18,2147483647,5,107,112,64
67,Relax,137,211,2147483647,3,86,89,65
68,Relax,137,341,2147483647,20,216,236,66
69,Relax,137,409,2147483647,22,284,306,67
70,Relax,137,154,2147483647,7,29,36,68
71,Relax,137,410,2147483647,3,285,288,69
72,Relax,137,411,2147483647,16,286,302,70
73,Relax,137,30,2147483647,5,95,100,71
74,Relax,137,160,2147483647,18,35,53,72
75,Relax,137,98,2147483647,18,27,45,73
76,Relax,137,36,2147483647,6,89,95,74
77,Relax,137,485,2147483647,16,360,376,75
78,Relax,137,106,2147483647,13,19,32,76
79,Relax,137,426,2147483647,16,301,317,77
80,Relax,137,108,2147483647,20,17,37,78
81,Relax,137,174,2147483647,22,49,71,79
82,Relax,137,111,2147483647,6,14,20,80
83,Relax,137,112,2147483647,13,13,26,81
