Step,Action,Node,QueueState,VisitedSet
0,EnqueueStart,26,[26],[26]
1,Dequeue,26,[],[26]
2,Enqueue,7,[7],"[7, 26]"
3,Enqueue,61,"[7, 61]","[7, 26, 61]"
4,Enqueue,76,"[7, 61, 76]","[7, 26, 76, 61]"
5,Enqueue,91,"[7, 61, 76, 91]","[7, 26, 91, 76, 61]"
6,Dequeue,7,"[61, 76, 91]","[7, 26, 91, 76, 61]"
7,Enqueue,79,"[61, 76, 91, 79]","[7, 26, 91, 76, 61, 79]"
8,Enqueue,75,"[61, 76, 91, 79, 75]","[7, 26, 91, 75, 76, 61, 79]"
9,Enqueue,97,"[61, 76, 91, 79, 75, 97]","[97, 7, 26, 91, 75, 76, 61, 79]"
10,Dequeue,61,"[76, 91, 79, 75, 97]","[97, 7, 26, 91, 75, 76, 61, 79]"
11,Dequeue,76,"[91, 79, 75, 97]","[97, 7, 26, 91, 75, 76, 61, 79]"
12,Enqueue,42,"[91, 79, 75, 97, 42]","[97, 7, 26, 42, 91, 75, 76, 61, 79]"
13,Enqueue,54,"[91, 79, 75, 97, 42, 54]","[97, 54, 7, 26, 42, 91, 75, 76, 61, 79]"
14,Dequeue,91,"[79, 75, 97, 42, 54]","[97, 54, 7, 26, 42, 91, 75, 76, 61, 79]"
15,Dequeue,79,"[75, 97, 42, 54]","[97, 54, 7, 26, 42, 91, 75, 76, 61, 79]"
16,Enqueue,17,"[75, 97, 42, 54, 17]","[97, 17, 54, 7, 26, 42, 91, 75, 76, 61, 79]"
17,Enqueue,40,"[75, 97, 42, 54, 17, 40]","[97, 17, 54, 7, 40, 26, 42, 91, 75, 76, 61, 79]"
18,Enqueue,98,"[75, 97, 42, 54, 17, 40, 98]","[97, 98, 7, 40, 42, 75, 76, 79, 17, 54, 26, 91, 61]"
19,Enqueue,82,"[75, 97, 42, 54, 17, 40, 98, 82]","[97, 98, 7, 40, 42, 75, 76, 79, 17, 82, 54, 26, 91, 61]"
20,Dequeue,75,"[97, 42, 54, 17, 40, 98, 82]","[97, 98, 7, 40, 42, 75, 76, 79, 17, 82, 54, 26, 91, 61]"
21,Enqueue,29,"[97, 42, 54, 17, 40, 98, 82, 29]","[97, 98, 7, 40, 42, 75, 76, 79, 17, 82, 54, 26, 91, 61, 29]"
22,Dequeue,97,"[42, 54, 17, 40, 98, 82, 29]","[97, 98, 7, 40, 42, 75, 76, 79, 17, 82, 54, 26, 91, 61, 29]"
23,Enqueue,72,"[42, 54, 17, 40, 98, 82, 29, 72]","[97, 98, 7, 40, 72, 42, 75, 76, 79, 17, 82, 54, 26, 91, 61, 29]"
24,Dequeue,42,"[54, 17, 40, 98, 82, 29, 72]","[97, 98, 7, 40, 72, 42, 75, 76, 79, 17, 82, 54, 26, 91, 61, 29]"
25,Enqueue,8,"[54, 17, 40, 98, 82, 29, 72, 8]","[97, 98, 7, 40, 72, 8, 42, 75, 76, 79, 17, 82, 54, 26, 91, 61, 29]"
26,Enqueue,36,"[54, 17, 40, 98, 82, 29, 72, 8, 36]","[97, 98, 36, 7, 40, 72, 8, 42, 75, 76, 79, 17, 82, 54, 26, 91, 61, 29]"
27,Enqueue,81,"[54, 17, 40, 98, 82, 29, 72, 8, 36, 81]","[97, 98, 36, 7, 40, 72, 8, 42, 75, 76, 79, 17, 81, 82, 54, 26, 91, 61, 29]"
28,Dequeue,54,"[17, 40, 98, 82, 29, 72, 8, 36, 81]","[97, 98, 36, 7, 40, 72, 8, 42, 75, 76, 79, 17, 81, 82, 54, 26, 91, 61, 29]"
29,Enqueue,38,"[17, 40, 98, 82, 29, 72, 8, 36, 81, 38]","[97, 98, 36, 38, 7, 40, 72, 8, 42, 75, 76, 79, 17, 81, 82, 54, 26, 91, 61, 29]"
30,Enqueue,92,"[17, 40, 98, 82, 29, 72, 8, 36, 81, 38, 92]","[97, 98, 36, 38, 7, 40, 72, 8, 42, 75, 76, 79, 17, 81, 82, 54, 26, 91, 92, 61, 29]"
31,Dequeue,17,"[40, 98, 82, 29, 72, 8, 36, 81, 38, 92]","[97, 98, 36, 38, 7, 40, 72, 8, 42, 75, 76, 79, 17, 81, 82, 54, 26, 91, 92, 61, 29]"
32,Dequeue,40,"[98, 82, 29, 72, 8, 36, 81, 38, 92]","[97, 98, 36, 38, 7, 40, 72, 8, 42, 75, 76, 79, 17, 81, 82, 54, 26, 91, 92, 61, 29]"
33,Enqueue,14,"[98, 82, 29, 72, 8, 36, 81, 38, 92, 14]","[97, 98, 36, 38, 7, 40, 72, 8, 42, 75, 76, 14, 79, 17, 81, 82, 54, 26, 91, 92, 61, 29]"
34,Enqueue,59,"[98, 82, 29, 72, 8, 36, 81, 38, 92, 14, 59]","[97, 98, 36, 38, 7, 40, 72, 8, 42, 75, 76, 14, 79, 17, 81, 82, 54, 26, 91, 59, 92, 61, 29]"
35,Dequeue,98,"[82, 29, 72, 8, 36, 81, 38, 92, 14, 59]","[97, 98, 36, 38, 7, 40, 72, 8, 42, 75, 76, 14, 79, 17, 81, 82, 54, 26, 91, 59, 92, 61, 29]"
36,Enqueue,32,"[82, 29, 72, 8, 36, 81, 38, 92, 14, 59, 32]","[32, 97, 98, 36, 38, 7, 40, 72, 8, 42, 75, 76, 14, 79, 17, 81, 82, 54, 26, 91, 59, 92, 61, 29]"
37,Dequeue,82,"[29, 72, 8, 36, 81, 38, 92, 14, 59, 32]","[32, 97, 98, 36, 38, 7, 40, 72, 8, 42, 75, 76, 14, 79, 17, 81, 82, 54, 26, 91, 59, 92, 61, 29]"
38,Dequeue,29,"[72, 8, 36, 81, 38, 92, 14, 59, 32]","[32, 97, 98, 36, 38, 7, 40, 72, 8, 42, 75, 76, 14, 79, 17, 81, 82, 54, 26, 91, 59, 92, 61, 29]"
39,Enqueue,70,"[72, 8, 36, 81, 38, 92, 14, 59, 32, 70]","[70, 7, 72, 8, 75, 76, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 97, 98, 36, 38, 40, 42, 54, 59, 61]"
40,Enqueue,34,"[72, 8, 36, 81, 38, 92, 14, 59, 32, 70, 34]","[70, 7, 72, 8, 75, 76, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 97, 98, 34, 36, 38, 40, 42, 54, 59, 61]"
41,Enqueue,96,"[72, 8, 36, 81, 38, 92, 14, 59, 32, 70, 34, 96]","[70, 7, 72, 8, 75, 76, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 54, 59, 61]"
42,Dequeue,72,"[8, 36, 81, 38, 92, 14, 59, 32, 70, 34, 96]","[70, 7, 72, 8, 75, 76, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 54, 59, 61]"
43,Enqueue,6,"[8, 36, 81, 38, 92, 14, 59, 32, 70, 34, 96, 6]","[70, 6, 7, 72, 8, 75, 76, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 54, 59, 61]"
44,Enqueue,43,"[8, 36, 81, 38, 92, 14, 59, 32, 70, 34, 96, 6, 43]","[70, 6, 7, 72, 8, 75, 76, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 59, 61]"
45,Dequeue,8,"[36, 81, 38, 92, 14, 59, 32, 70, 34, 96, 6, 43]","[70, 6, 7, 72, 8, 75, 76, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 59, 61]"
46,Enqueue,5,"[36, 81, 38, 92, 14, 59, 32, 70, 34, 96, 6, 43, 5]","[5, 70, 6, 7, 72, 8, 75, 76, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 59, 61]"
47,Enqueue,13,"[36, 81, 38, 92, 14, 59, 32, 70, 34, 96, 6, 43, 5, 13]","[5, 70, 6, 7, 72, 8, 75, 76, 13, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 59, 61]"
48,Dequeue,36,"[81, 38, 92, 14, 59, 32, 70, 34, 96, 6, 43, 5, 13]","[5, 70, 6, 7, 72, 8, 75, 76, 13, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 59, 61]"
49,Dequeue,81,"[38, 92, 14, 59, 32, 70, 34, 96, 6, 43, 5, 13]","[5, 70, 6, 7, 72, 8, 75, 76, 13, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 59, 61]"
50,Enqueue,12,"[38, 92, 14, 59, 32, 70, 34, 96, 6, 43, 5, 13, 12]","[5, 70, 6, 7, 72, 8, 75, 76, 12, 13, 14, 79, 17, 81, 82, 26, 91, 92, 29, 32, 96, 97, 98, 34, 36, 38, 40, 42, 43, 54, 59, 61]"
