Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,480,,,,,,0
1,Relax,480,432,2147483647,6,49,55,1
2,Relax,480,386,2147483647,15,95,110,2
3,Relax,480,146,2147483647,10,335,345,3
4,Relax,480,83,2147483647,10,398,408,4
5,Relax,480,103,2147483647,6,378,384,5
6,Relax,480,153,2147483647,7,328,335,6
7,Relax,480,494,2147483647,11,13,24,7
8,Relax,480,479,2147483647,13,2,15,8
9,Pop,479,,,,,,7
10,Relax,479,321,2147483647,28,160,188,8
11,Relax,479,452,2147483647,21,29,50,9
12,Relax,479,43,2147483647,28,438,466,10
13,Relax,479,395,2147483647,31,86,117,11
14,Relax,479,13,2147483647,27,468,495,12
15,Relax,479,365,2147483647,31,116,147,13
16,Relax,479,367,2147483647,23,114,137,14
17,Relax,479,112,2147483647,26,369,395,15
18,Relax,479,400,2147483647,25,81,106,16
19,Relax,479,404,2147483647,24,77,101,17
20,Relax,479,343,2147483647,27,138,165,18
21,Relax,479,409,2147483647,26,72,98,19
22,Relax,479,60,2147483647,15,421,436,20
23,Relax,479,61,2147483647,32,420,452,21
24,Relax,479,286,2147483647,24,195,219,22
25,Relax,479,255,2147483647,29,226,255,23
26,Pop,494,,,,,,22
27,Relax,494,352,2147483647,29,129,158,23
28,Relax,494,34,2147483647,29,447,476,24
29,Relax,494,290,2147483647,23,191,214,25
30,Relax,494,354,2147483647,16,127,143,26
31,Relax,494,355,2147483647,18,126,144,27
32,Relax,494,484,2147483647,26,3,29,28
33,Relax,494,100,2147483647,12,381,393,29
34,Relax,494,137,2147483647,29,344,373,30
35,Relax,494,329,2147483647,29,152,181,31
36,Relax,494,491,2147483647,26,10,36,32
37,Relax,494,429,2147483647,29,52,81,33
38,Relax,494,497,2147483647,28,16,44,34
39,Relax,494,114,2147483647,12,367,379,35
40,Relax,494,471,2147483647,15,10,25,36
41,Relax,494,89,2147483647,26,392,418,37
42,Relax,494,249,2147483647,24,232,256,38
43,Pop,471,,,,,,37
44,Relax,471,193,2147483647,35,288,323,38
45,Relax,471,392,2147483647,35,89,124,39
46,Relax,471,331,2147483647,23,150,173,40
47,Relax,471,427,2147483647,29,54,83,41
48,Relax,471,206,2147483647,28,275,303,42
49,Relax,471,175,2147483647,32,306,338,43
50,Relax,471,401,2147483647,20,80,100,44
51,Relax,471,116,2147483647,34,365,399,45
52,Relax,471,315,2147483647,35,166,201,46
53,Relax,471,412,2147483647,19,69,88,47
54,Relax,471,444,2147483647,31,37,68,48
55,Pop,484,,,,,,47
56,Relax,484,372,2147483647,36,109,145,48
57,Relax,484,325,2147483647,46,156,202,49
58,Relax,484,69,2147483647,31,412,443,50
59,Relax,484,38,2147483647,44,443,487,51
60,Relax,484,487,2147483647,37,6,43,52
61,Relax,484,456,2147483647,39,25,64,53
62,Relax,484,408,2147483647,36,73,109,54
63,Relax,484,121,2147483647,40,360,400,55
64,Relax,484,411,2147483647,37,70,107,56
65,Relax,484,254,2147483647,32,227,259,57
66,Pop,491,,,,,,56
67,Relax,491,0,2147483647,44,481,525,57
68,Relax,491,496,2147483647,38,15,53,58
69,Relax,491,388,2147483647,46,93,139,59
70,Relax,491,148,2147483647,42,333,375,60
71,Relax,491,391,2147483647,33,90,123,61
72,Relax,491,104,2147483647,45,377,422,62
73,Relax,491,296,2147483647,45,185,230,63
74,Relax,491,414,2147483647,27,67,94,64
75,Relax,491,335,2147483647,30,146,176,65
76,Pop,487,,,,,,64
77,Relax,487,145,2147483647,56,336,392,65
78,Relax,487,369,2147483647,48,112,160,66
79,Relax,487,130,2147483647,43,351,394,67
80,Relax,487,18,2147483647,52,463,515,68
81,Relax,487,227,2147483647,53,254,307,69
82,Relax,487,230,2147483647,52,251,303,70
83,Relax,487,310,2147483647,45,171,216,71
84,Relax,487,422,2147483647,44,59,103,72
85,Relax,487,15,2147483647,47,466,513,73
86,Pop,497,,,,,,72
87,Relax,497,320,2147483647,29,161,190,73
88,Relax,497,160,2147483647,43,321,364,74
89,Relax,497,467,2147483647,33,14,47,75
90,Relax,497,468,2147483647,42,13,55,76
91,Relax,497,37,2147483647,36,444,480,77
92,Relax,497,117,2147483647,38,364,402,78
93,Relax,497,181,2147483647,39,300,339,79
94,Relax,497,326,2147483647,47,155,202,80
95,Relax,497,366,2147483647,31,115,146,81
96,Pop,467,,,,,,80
97,Relax,467,433,2147483647,50,48,98,81
98,Relax,467,257,2147483647,37,224,261,82
99,Relax,467,402,2147483647,52,79,131,83
100,Relax,467,291,2147483647,36,190,226,84
101,Relax,467,213,2147483647,53,268,321,85
102,Relax,467,118,2147483647,35,363,398,86
103,Relax,467,198,2147483647,52,283,335,87
104,Relax,467,174,2147483647,38,307,345,88
105,Relax,467,190,2147483647,39,291,330,89
106,Relax,467,111,2147483647,48,370,418,90
107,Pop,452,,,,,,89
108,Relax,452,210,2147483647,38,271,309,90
109,Relax,452,306,2147483647,39,175,214,91
110,Relax,452,21,2147483647,39,460,499,92
111,Relax,452,69,31,24,412,436,93
112,Relax,452,455,2147483647,28,26,54,94
113,Relax,452,489,2147483647,23,8,31,95
114,Relax,452,473,2147483647,31,8,39,96
115,Relax,452,91,2147483647,23,390,413,97
116,Relax,452,157,2147483647,33,324,357,98
117,Pop,489,,,,,,97
118,Relax,489,416,2147483647,39,65,104,98
119,Relax,489,39,2147483647,25,442,467,99
120,Relax,489,71,2147483647,39,410,449,100
121,Relax,489,74,2147483647,42,407,449,101
122,Relax,489,92,2147483647,24,389,413,102
123,Pop,473,,,,,,101
124,Relax,473,65,2147483647,44,416,460,102
125,Relax,473,228,2147483647,39,253,292,103
126,Relax,473,390,2147483647,42,91,133,104
