Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,12,0,1
2,ColorAssign,12,28,1,0
3,ColorAssign,28,6,0,1
4,ColorAssign,28,25,0,1
5,ColorAssign,28,10,0,1
6,ColorAssign,28,46,0,1
7,ColorAssign,28,90,0,1
8,ColorAssign,6,72,1,0
9,ColorAssign,6,85,1,0
10,ColorAssign,25,55,1,0
11,ColorAssign,10,1,1,0
12,ColorAssign,10,52,1,0
13,ColorAssign,46,91,1,0
14,ColorAssign,46,80,1,0
15,ColorAssign,46,94,1,0
16,ColorAssign,90,77,1,0
17,ColorAssign,90,87,1,0
18,ColorAssign,72,41,0,1
19,ColorAssign,72,45,0,1
20,ColorAssign,72,58,0,1
21,Conflict,72,77,0,0
