Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,7,0,1
2,ColorAssign,0,77,0,1
3,ColorAssign,0,81,0,1
4,ColorAssign,0,152,0,1
5,ColorAssign,0,171,0,1
6,ColorAssign,0,200,0,1
7,ColorAssign,0,301,0,1
8,ColorAssign,0,377,0,1
9,ColorAssign,0,262,0,1
10,ColorAssign,0,347,0,1
11,ColorAssign,0,352,0,1
12,ColorAssign,7,313,1,0
13,ColorAssign,7,444,1,0
14,ColorAssign,7,467,1,0
15,ColorAssign,7,76,1,0
16,ColorAssign,7,159,1,0
17,ColorAssign,7,433,1,0
18,ColorAssign,77,24,1,0
19,ColorAssign,77,102,1,0
20,ColorAssign,77,108,1,0
21,ColorAssign,77,214,1,0
22,ColorAssign,77,398,1,0
23,ColorAssign,77,489,1,0
24,ColorAssign,77,190,1,0
25,ColorAssign,77,391,1,0
26,ColorAssign,77,420,1,0
27,ColorAssign,77,472,1,0
28,ColorAssign,81,27,1,0
29,ColorAssign,81,212,1,0
30,ColorAssign,81,323,1,0
31,ColorAssign,81,252,1,0
32,ColorAssign,81,297,1,0
33,ColorAssign,81,459,1,0
34,ColorAssign,81,496,1,0
35,ColorAssign,152,281,1,0
36,ColorAssign,152,363,1,0
37,ColorAssign,152,423,1,0
38,ColorAssign,171,128,1,0
39,ColorAssign,171,287,1,0
40,ColorAssign,171,382,1,0
41,ColorAssign,171,410,1,0
42,ColorAssign,171,440,1,0
43,ColorAssign,171,447,1,0
44,ColorAssign,171,230,1,0
45,ColorAssign,171,282,1,0
46,ColorAssign,171,349,1,0
47,ColorAssign,171,385,1,0
48,ColorAssign,200,99,1,0
49,ColorAssign,200,137,1,0
50,ColorAssign,200,181,1,0
51,ColorAssign,200,226,1,0
52,ColorAssign,200,436,1,0
53,ColorAssign,200,283,1,0
54,ColorAssign,200,312,1,0
55,ColorAssign,301,43,1,0
56,ColorAssign,301,126,1,0
57,ColorAssign,301,30,1,0
58,ColorAssign,301,64,1,0
59,ColorAssign,301,105,1,0
60,ColorAssign,301,188,1,0
61,ColorAssign,301,317,1,0
62,ColorAssign,301,427,1,0
63,ColorAssign,301,457,1,0
64,ColorAssign,301,322,1,0
65,ColorAssign,301,450,1,0
66,ColorAssign,377,31,1,0
67,ColorAssign,377,61,1,0
68,ColorAssign,377,165,1,0
69,ColorAssign,377,319,1,0
70,ColorAssign,377,36,1,0
71,ColorAssign,377,195,1,0
72,ColorAssign,377,325,1,0
73,ColorAssign,377,438,1,0
74,ColorAssign,262,253,1,0
75,ColorAssign,262,261,1,0
76,ColorAssign,262,355,1,0
77,ColorAssign,262,409,1,0
78,ColorAssign,262,431,1,0
79,ColorAssign,262,365,1,0
80,ColorAssign,262,458,1,0
81,ColorAssign,347,25,1,0
82,ColorAssign,347,26,1,0
83,ColorAssign,347,65,1,0
84,ColorAssign,347,66,1,0
85,ColorAssign,347,68,1,0
86,ColorAssign,347,133,1,0
87,ColorAssign,347,197,1,0
88,ColorAssign,347,274,1,0
89,ColorAssign,347,63,1,0
90,ColorAssign,347,264,1,0
91,ColorAssign,347,401,1,0
92,ColorAssign,352,179,1,0
93,ColorAssign,352,292,1,0
94,ColorAssign,352,294,1,0
95,ColorAssign,352,326,1,0
96,ColorAssign,352,327,1,0
97,ColorAssign,352,435,1,0
98,ColorAssign,352,464,1,0
99,ColorAssign,352,353,1,0
100,ColorAssign,352,477,1,0
101,ColorAssign,313,10,0,1
102,ColorAssign,313,247,0,1
103,Conflict,313,128,0,0
