Step,Action,Node,StackState,VisitedSet
0,PushStart,21,[21],[]
1,Visit,21,[],[21]
2,Push,60,[60],[21]
3,Push,23,"[23, 60]",[21]
4,Push,96,"[96, 23, 60]",[21]
5,Push,84,"[84, 96, 23, 60]",[21]
6,Push,38,"[38, 84, 96, 23, 60]",[21]
7,Push,9,"[9, 38, 84, 96, 23, 60]",[21]
8,Visit,9,"[38, 84, 96, 23, 60]","[21, 9]"
9,Push,43,"[43, 38, 84, 96, 23, 60]","[21, 9]"
10,Push,77,"[77, 43, 38, 84, 96, 23, 60]","[21, 9]"
11,Push,68,"[68, 77, 43, 38, 84, 96, 23, 60]","[21, 9]"
12,Push,42,"[42, 68, 77, 43, 38, 84, 96, 23, 60]","[21, 9]"
13,Push,15,"[15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[21, 9]"
14,Push,3,"[3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[21, 9]"
15,Push,8,"[8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[21, 9]"
16,Push,1,"[1, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[21, 9]"
17,Visit,1,"[8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
18,Push,63,"[63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
19,Push,46,"[46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
20,Push,45,"[45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
21,Push,34,"[34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
22,Push,26,"[26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
23,Push,14,"[14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
24,Push,85,"[85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
25,Push,70,"[70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
26,Push,31,"[31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
27,Push,20,"[20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
28,Push,10,"[10, 20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
29,Push,2,"[2, 10, 20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 21, 9]"
30,Visit,2,"[10, 20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 2, 21, 9]"
31,Push,91,"[91, 10, 20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 2, 21, 9]"
32,Push,79,"[79, 91, 10, 20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 2, 21, 9]"
33,Push,59,"[59, 79, 91, 10, 20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 2, 21, 9]"
34,Visit,59,"[79, 91, 10, 20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 2, 21, 9, 59]"
35,Push,57,"[57, 79, 91, 10, 20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 2, 21, 9, 59]"
36,Push,47,"[47, 57, 79, 91, 10, 20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 2, 21, 9, 59]"
37,Push,19,"[19, 47, 57, 79, 91, 10, 20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 2, 21, 9, 59]"
38,Push,50,"[50, 19, 47, 57, 79, 91, 10, 20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 2, 21, 9, 59]"
39,Push,47,"[47, 50, 19, 47, 57, 79, 91, 10, 20, 31, 70, 85, 14, 26, 34, 45, 46, 63, 8, 3, 15, 42, 68, 77, 43, 38, 84, 96, 23, 60]","[1, 2, 21, 9, 59]"
