Iteration,Action,U,V,OldDist,NewDist
1,Relax,91,27,2147483647,7
1,Relax,91,79,2147483647,5
2,Relax,27,38,2147483647,12
2,Relax,38,29,2147483647,24
2,Relax,79,21,2147483647,13
2,Relax,79,11,2147483647,15
3,Relax,11,19,2147483647,25
3,Relax,19,89,2147483647,27
3,Relax,21,94,2147483647,23
3,Relax,29,0,2147483647,40
3,Relax,29,70,2147483647,29
3,Relax,29,7,2147483647,30
3,Relax,29,56,2147483647,40
3,Relax,29,73,2147483647,37
3,Relax,56,50,2147483647,53
3,Relax,70,35,2147483647,43
3,Relax,70,45,2147483647,33
3,Relax,73,78,2147483647,39
3,Relax,78,82,2147483647,42
3,Relax,78,75,2147483647,53
3,Relax,82,30,2147483647,59
3,Relax,82,47,2147483647,43
3,Relax,89,80,2147483647,44
3,Relax,89,22,2147483647,41
3,Relax,94,3,2147483647,35
4,Relax,0,76,2147483647,51
4,Relax,3,1,2147483647,46
4,Relax,7,0,40,38
4,Relax,7,95,2147483647,46
4,Relax,22,90,2147483647,42
4,Relax,35,52,2147483647,47
4,Relax,45,50,53,45
4,Relax,45,9,2147483647,38
4,Relax,47,12,2147483647,57
4,Relax,50,64,2147483647,53
4,Relax,50,98,2147483647,50
4,Relax,50,86,2147483647,50
4,Relax,50,26,2147483647,60
4,Relax,75,24,2147483647,68
4,Relax,75,61,2147483647,57
4,Relax,76,23,2147483647,71
4,Relax,86,71,2147483647,53
4,Relax,86,31,2147483647,70
4,Relax,90,81,2147483647,44
4,Relax,90,30,59,48
4,Relax,95,44,2147483647,63
4,Relax,98,37,2147483647,63
4,Relax,98,55,2147483647,58
5,Relax,0,76,51,49
5,Relax,9,49,2147483647,52
5,Relax,12,20,2147483647,77
5,Relax,12,8,2147483647,67
5,Relax,24,68,2147483647,83
5,Relax,26,48,2147483647,74
5,Relax,26,10,2147483647,76
5,Relax,31,74,2147483647,88
5,Relax,31,62,2147483647,90
5,Relax,37,58,2147483647,65
5,Relax,37,92,2147483647,74
5,Relax,37,46,2147483647,68
5,Relax,44,6,2147483647,69
5,Relax,48,36,2147483647,86
5,Relax,48,43,2147483647,88
5,Relax,49,36,86,61
5,Relax,49,31,70,67
5,Relax,55,17,2147483647,64
5,Relax,55,39,2147483647,64
5,Relax,55,93,2147483647,72
5,Relax,55,46,68,59
5,Relax,58,62,90,72
5,Relax,61,42,2147483647,67
5,Relax,62,5,2147483647,74
5,Relax,68,84,2147483647,88
5,Relax,71,92,74,68
5,Relax,74,2,2147483647,96
5,Relax,76,23,71,69
5,Relax,81,66,2147483647,47
5,Relax,81,93,72,51
5,Relax,92,51,2147483647,70
5,Relax,92,10,76,75
5,Relax,93,92,68,56
6,Relax,17,65,2147483647,66
6,Relax,17,14,2147483647,74
6,Relax,31,74,88,85
6,Relax,36,48,74,73
6,Relax,36,15,2147483647,63
6,Relax,39,59,2147483647,81
6,Relax,42,2,96,76
6,Relax,42,34,2147483647,75
6,Relax,48,43,88,87
6,Relax,51,18,2147483647,71
6,Relax,51,41,2147483647,71
6,Relax,66,67,2147483647,63
6,Relax,67,28,2147483647,78
6,Relax,92,51,70,58
6,Relax,92,10,75,63
7,Relax,2,74,85,84
7,Relax,15,83,2147483647,80
7,Relax,18,85,2147483647,86
7,Relax,28,96,2147483647,92
7,Relax,51,18,71,59
7,Relax,51,41,71,59
8,Relax,18,85,86,74
8,Relax,18,59,81,78
