Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,114,,,,,,0
1,Relax,114,258,2147483647,15,143,158,1
2,Relax,114,210,2147483647,13,95,108,2
3,Relax,114,100,2147483647,19,15,34,3
4,Relax,114,88,2147483647,12,27,39,4
5,Relax,114,123,2147483647,10,8,18,5
6,Relax,114,44,2147483647,9,71,80,6
7,Relax,114,494,2147483647,1,379,380,7
8,Pop,123,,,,,,6
9,Relax,123,448,2147483647,17,333,350,7
10,Relax,123,481,2147483647,15,366,381,8
11,Relax,123,131,2147483647,18,16,34,9
12,Relax,123,340,2147483647,21,225,246,10
13,Relax,123,43,2147483647,13,72,85,11
14,Relax,123,348,2147483647,29,233,262,12
15,Relax,123,93,2147483647,14,22,36,13
16,Relax,123,46,2147483647,26,69,95,14
17,Relax,123,414,2147483647,27,299,326,15
18,Relax,123,462,2147483647,15,347,362,16
19,Pop,100,,,,,,15
20,Relax,100,259,2147483647,35,144,179,16
21,Relax,100,70,2147483647,27,45,72,17
22,Relax,100,75,2147483647,29,40,69,18
23,Relax,100,299,2147483647,32,184,216,19
24,Relax,100,429,2147483647,34,314,348,20
25,Relax,100,205,2147483647,29,90,119,21
26,Relax,100,365,2147483647,20,250,270,22
27,Relax,100,206,2147483647,30,91,121,23
28,Relax,100,373,2147483647,21,258,279,24
29,Relax,100,57,2147483647,39,58,97,25
30,Pop,131,,,,,,24
31,Relax,131,449,2147483647,27,334,361,25
32,Relax,131,482,2147483647,20,367,387,26
33,Relax,131,419,2147483647,38,304,342,27
34,Relax,131,296,2147483647,26,181,207,28
35,Relax,131,73,2147483647,38,42,80,29
36,Relax,131,297,2147483647,36,182,218,30
37,Relax,131,171,2147483647,32,56,88,31
38,Relax,131,235,2147483647,29,120,149,32
39,Relax,131,177,2147483647,36,62,98,33
40,Relax,131,242,2147483647,38,127,165,34
41,Relax,131,115,2147483647,27,0,27,35
42,Relax,131,243,2147483647,29,128,157,36
43,Relax,131,56,2147483647,36,59,95,37
44,Relax,131,477,2147483647,26,362,388,38
45,Pop,115,,,,,,37
46,ReachedGoal,115,,,,,,37
