Step,Action,Node,QueueState,VisitedSet
0,EnqueueStart,95,[95],[95]
1,Dequeue,95,[],[95]
2,Enqueue,16,[16],"[16, 95]"
3,Enqueue,78,"[16, 78]","[16, 78, 95]"
4,Dequeue,16,[78],"[16, 78, 95]"
5,Dequeue,78,[],"[16, 78, 95]"
6,Enqueue,12,[12],"[16, 12, 78, 95]"
7,Enqueue,15,"[12, 15]","[16, 12, 78, 95, 15]"
8,Enqueue,27,"[12, 15, 27]","[16, 27, 12, 78, 95, 15]"
9,Enqueue,62,"[12, 15, 27, 62]","[16, 27, 12, 78, 62, 95, 15]"
10,Enqueue,68,"[12, 15, 27, 62, 68]","[16, 68, 27, 12, 78, 62, 95, 15]"
11,Enqueue,94,"[12, 15, 27, 62, 68, 94]","[16, 68, 27, 12, 78, 62, 94, 95, 15]"
12,Dequeue,12,"[15, 27, 62, 68, 94]","[16, 68, 27, 12, 78, 62, 94, 95, 15]"
13,Enqueue,81,"[15, 27, 62, 68, 94, 81]","[16, 81, 68, 27, 12, 78, 62, 94, 95, 15]"
14,Dequeue,15,"[27, 62, 68, 94, 81]","[16, 81, 68, 27, 12, 78, 62, 94, 95, 15]"
15,Enqueue,10,"[27, 62, 68, 94, 81, 10]","[16, 81, 68, 10, 27, 12, 78, 62, 94, 95, 15]"
16,Dequeue,27,"[62, 68, 94, 81, 10]","[16, 81, 68, 10, 27, 12, 78, 62, 94, 95, 15]"
17,Enqueue,65,"[62, 68, 94, 81, 10, 65]","[16, 81, 65, 68, 10, 27, 12, 78, 62, 94, 95, 15]"
18,Dequeue,62,"[68, 94, 81, 10, 65]","[16, 81, 65, 68, 10, 27, 12, 78, 62, 94, 95, 15]"
19,Enqueue,34,"[68, 94, 81, 10, 65, 34]","[65, 34, 68, 10, 12, 78, 15, 16, 81, 27, 62, 94, 95]"
20,Enqueue,93,"[68, 94, 81, 10, 65, 34, 93]","[65, 34, 68, 10, 12, 78, 15, 16, 81, 27, 93, 62, 94, 95]"
21,Dequeue,68,"[94, 81, 10, 65, 34, 93]","[65, 34, 68, 10, 12, 78, 15, 16, 81, 27, 93, 62, 94, 95]"
22,Enqueue,28,"[94, 81, 10, 65, 34, 93, 28]","[65, 34, 68, 10, 12, 78, 15, 16, 81, 27, 28, 93, 62, 94, 95]"
23,Enqueue,35,"[94, 81, 10, 65, 34, 93, 28, 35]","[65, 34, 35, 68, 10, 12, 78, 15, 16, 81, 27, 28, 93, 62, 94, 95]"
24,Enqueue,73,"[94, 81, 10, 65, 34, 93, 28, 35, 73]","[65, 34, 35, 68, 73, 10, 12, 78, 15, 16, 81, 27, 28, 93, 62, 94, 95]"
25,Dequeue,94,"[81, 10, 65, 34, 93, 28, 35, 73]","[65, 34, 35, 68, 73, 10, 12, 78, 15, 16, 81, 27, 28, 93, 62, 94, 95]"
26,Dequeue,81,"[10, 65, 34, 93, 28, 35, 73]","[65, 34, 35, 68, 73, 10, 12, 78, 15, 16, 81, 27, 28, 93, 62, 94, 95]"
27,Enqueue,42,"[10, 65, 34, 93, 28, 35, 73, 42]","[65, 34, 35, 68, 73, 10, 42, 12, 78, 15, 16, 81, 27, 28, 93, 62, 94, 95]"
28,Enqueue,57,"[10, 65, 34, 93, 28, 35, 73, 42, 57]","[65, 34, 35, 68, 73, 10, 42, 12, 78, 15, 16, 81, 57, 27, 28, 93, 62, 94, 95]"
29,Enqueue,58,"[10, 65, 34, 93, 28, 35, 73, 42, 57, 58]","[65, 34, 35, 68, 73, 10, 42, 12, 78, 15, 16, 81, 57, 58, 27, 28, 93, 62, 94, 95]"
30,Enqueue,23,"[10, 65, 34, 93, 28, 35, 73, 42, 57, 58, 23]","[65, 34, 35, 68, 73, 10, 42, 12, 78, 15, 16, 81, 23, 57, 58, 27, 28, 93, 62, 94, 95]"
31,Dequeue,10,"[65, 34, 93, 28, 35, 73, 42, 57, 58, 23]","[65, 34, 35, 68, 73, 10, 42, 12, 78, 15, 16, 81, 23, 57, 58, 27, 28, 93, 62, 94, 95]"
32,Enqueue,52,"[65, 34, 93, 28, 35, 73, 42, 57, 58, 23, 52]","[65, 34, 35, 68, 73, 10, 42, 12, 78, 15, 16, 81, 52, 23, 57, 58, 27, 28, 93, 62, 94, 95]"
33,Dequeue,65,"[34, 93, 28, 35, 73, 42, 57, 58, 23, 52]","[65, 34, 35, 68, 73, 10, 42, 12, 78, 15, 16, 81, 52, 23, 57, 58, 27, 28, 93, 62, 94, 95]"
34,Dequeue,34,"[93, 28, 35, 73, 42, 57, 58, 23, 52]","[65, 34, 35, 68, 73, 10, 42, 12, 78, 15, 16, 81, 52, 23, 57, 58, 27, 28, 93, 62, 94, 95]"
35,Enqueue,29,"[93, 28, 35, 73, 42, 57, 58, 23, 52, 29]","[65, 34, 35, 68, 73, 10, 42, 12, 78, 15, 16, 81, 52, 23, 57, 58, 27, 28, 93, 29, 62, 94, 95]"
36,Enqueue,92,"[93, 28, 35, 73, 42, 57, 58, 23, 52, 29, 92]","[65, 34, 35, 68, 73, 10, 42, 12, 78, 15, 16, 81, 52, 23, 57, 58, 27, 28, 92, 93, 29, 62, 94, 95]"
37,Enqueue,48,"[93, 28, 35, 73, 42, 57, 58, 23, 52, 29, 92, 48]","[65, 68, 73, 10, 12, 78, 15, 16, 81, 23, 27, 28, 92, 93, 29, 94, 95, 34, 35, 42, 48, 52, 57, 58, 62]"
38,Enqueue,53,"[93, 28, 35, 73, 42, 57, 58, 23, 52, 29, 92, 48, 53]","[65, 68, 73, 10, 12, 78, 15, 16, 81, 23, 27, 28, 92, 93, 29, 94, 95, 34, 35, 42, 48, 52, 53, 57, 58, 62]"
39,Dequeue,93,"[28, 35, 73, 42, 57, 58, 23, 52, 29, 92, 48, 53]","[65, 68, 73, 10, 12, 78, 15, 16, 81, 23, 27, 28, 92, 93, 29, 94, 95, 34, 35, 42, 48, 52, 53, 57, 58, 62]"
40,Enqueue,71,"[28, 35, 73, 42, 57, 58, 23, 52, 29, 92, 48, 53, 71]","[65, 68, 71, 73, 10, 12, 78, 15, 16, 81, 23, 27, 28, 92, 93, 29, 94, 95, 34, 35, 42, 48, 52, 53, 57, 58, 62]"
41,Enqueue,74,"[28, 35, 73, 42, 57, 58, 23, 52, 29, 92, 48, 53, 71, 74]","[65, 68, 71, 73, 10, 74, 12, 78, 15, 16, 81, 23, 27, 28, 92, 93, 29, 94, 95, 34, 35, 42, 48, 52, 53, 57, 58, 62]"
42,Enqueue,85,"[28, 35, 73, 42, 57, 58, 23, 52, 29, 92, 48, 53, 71, 74, 85]","[65, 68, 71, 73, 10, 74, 12, 78, 15, 16, 81, 85, 23, 27, 28, 92, 93, 29, 94, 95, 34, 35, 42, 48, 52, 53, 57, 58, 62]"
43,Dequeue,28,"[35, 73, 42, 57, 58, 23, 52, 29, 92, 48, 53, 71, 74, 85]","[65, 68, 71, 73, 10, 74, 12, 78, 15, 16, 81, 85, 23, 27, 28, 92, 93, 29, 94, 95, 34, 35, 42, 48, 52, 53, 57, 58, 62]"
44,Enqueue,32,"[35, 73, 42, 57, 58, 23, 52, 29, 92, 48, 53, 71, 74, 85, 32]","[65, 68, 71, 73, 10, 74, 12, 78, 15, 16, 81, 85, 23, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 42, 48, 52, 53, 57, 58, 62]"
45,Enqueue,88,"[35, 73, 42, 57, 58, 23, 52, 29, 92, 48, 53, 71, 74, 85, 32, 88]","[65, 68, 71, 73, 10, 74, 12, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 42, 48, 52, 53, 57, 58, 62]"
46,Dequeue,35,"[73, 42, 57, 58, 23, 52, 29, 92, 48, 53, 71, 74, 85, 32, 88]","[65, 68, 71, 73, 10, 74, 12, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 42, 48, 52, 53, 57, 58, 62]"
47,Enqueue,47,"[73, 42, 57, 58, 23, 52, 29, 92, 48, 53, 71, 74, 85, 32, 88, 47]","[65, 68, 71, 73, 10, 74, 12, 78, 15, 16, 81, 85, 23, 88, 27, 28, 92, 93, 29, 94, 95, 32, 34, 35, 42, 47, 48, 52, 53, 57, 58, 62]"
