Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,56,,,,,,0
1,Relax,56,80,2147483647,3,23,26,1
2,Relax,56,1,2147483647,7,56,63,2
3,Relax,56,84,2147483647,2,27,29,3
4,Relax,56,21,2147483647,3,36,39,4
5,Relax,56,53,2147483647,7,4,11,5
6,Relax,56,38,2147483647,15,19,34,6
7,Relax,56,72,2147483647,15,15,30,7
8,Relax,56,57,2147483647,12,0,12,8
9,Relax,56,27,2147483647,10,30,40,9
10,Relax,56,91,2147483647,9,34,43,10
11,Relax,56,28,2147483647,1,29,30,11
12,Relax,56,77,2147483647,7,20,27,12
13,Pop,53,,,,,,11
14,Relax,53,97,2147483647,10,40,50,12
15,Relax,53,2,2147483647,14,55,69,13
16,Relax,53,7,2147483647,27,50,77,14
17,Relax,53,74,2147483647,24,17,41,15
18,Relax,53,44,2147483647,21,13,34,16
19,Relax,53,12,2147483647,21,45,66,17
20,Relax,53,47,2147483647,15,10,25,18
21,Relax,53,16,2147483647,26,41,67,19
22,Relax,53,82,2147483647,13,25,38,20
23,Relax,53,83,2147483647,19,26,45,21
24,Relax,53,55,2147483647,13,2,15,22
25,Relax,53,26,2147483647,17,31,48,23
26,Pop,57,,,,,,22
27,ReachedGoal,57,,,,,,22
