Step,Action,Node,StackState,VisitedSet
0,PushStart,98,[98],[]
1,Visit,98,[],[98]
2,Push,87,[87],[98]
3,Push,55,"[55, 87]",[98]
4,Push,48,"[48, 55, 87]",[98]
5,Push,36,"[36, 48, 55, 87]",[98]
6,Push,93,"[93, 36, 48, 55, 87]",[98]
7,Push,66,"[66, 93, 36, 48, 55, 87]",[98]
8,Push,39,"[39, 66, 93, 36, 48, 55, 87]",[98]
9,Push,35,"[35, 39, 66, 93, 36, 48, 55, 87]",[98]
10,Push,31,"[31, 35, 39, 66, 93, 36, 48, 55, 87]",[98]
11,Visit,31,"[35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
12,Push,94,"[94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
13,Push,82,"[82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
14,Push,78,"[78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
15,Push,67,"[67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
16,Push,63,"[63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
17,Push,55,"[55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
18,Push,39,"[39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
19,Push,94,"[94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
20,Push,93,"[93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
21,Push,89,"[89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
22,Push,84,"[84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
23,Push,66,"[66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
24,Push,64,"[64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
25,Push,9,"[9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
26,Push,25,"[25, 9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 31]"
27,Visit,25,"[9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 25, 31]"
28,Push,89,"[89, 9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 25, 31]"
29,Push,44,"[44, 89, 9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 25, 31]"
30,Push,42,"[42, 44, 89, 9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 25, 31]"
31,Push,32,"[32, 42, 44, 89, 9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 25, 31]"
32,Push,82,"[82, 32, 42, 44, 89, 9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 25, 31]"
33,Push,75,"[75, 82, 32, 42, 44, 89, 9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 25, 31]"
34,Push,47,"[47, 75, 82, 32, 42, 44, 89, 9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 25, 31]"
35,Push,23,"[23, 47, 75, 82, 32, 42, 44, 89, 9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 25, 31]"
36,Push,16,"[16, 23, 47, 75, 82, 32, 42, 44, 89, 9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 25, 31]"
37,Push,13,"[13, 16, 23, 47, 75, 82, 32, 42, 44, 89, 9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 25, 31]"
38,Push,24,"[24, 13, 16, 23, 47, 75, 82, 32, 42, 44, 89, 9, 64, 66, 84, 89, 93, 94, 39, 55, 63, 67, 78, 82, 94, 35, 39, 66, 93, 36, 48, 55, 87]","[98, 25, 31]"
