Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,7,0,1
2,ColorAssign,0,27,0,1
3,ColorAssign,0,77,0,1
4,ColorAssign,0,80,0,1
5,ColorAssign,0,81,0,1
6,ColorAssign,0,135,0,1
7,ColorAssign,0,152,0,1
8,ColorAssign,0,171,0,1
9,ColorAssign,0,177,0,1
10,ColorAssign,0,181,0,1
11,ColorAssign,0,199,0,1
12,ColorAssign,0,200,0,1
13,ColorAssign,0,235,0,1
14,ColorAssign,0,282,0,1
15,ColorAssign,0,287,0,1
16,ColorAssign,0,301,0,1
17,ColorAssign,0,309,0,1
18,ColorAssign,0,319,0,1
19,ColorAssign,0,370,0,1
20,ColorAssign,0,372,0,1
21,ColorAssign,0,377,0,1
22,ColorAssign,0,382,0,1
23,ColorAssign,0,392,0,1
24,ColorAssign,0,446,0,1
25,ColorAssign,0,467,0,1
26,ColorAssign,0,11,0,1
27,ColorAssign,0,54,0,1
28,ColorAssign,0,64,0,1
29,ColorAssign,0,66,0,1
30,ColorAssign,0,73,0,1
31,ColorAssign,0,83,0,1
32,ColorAssign,0,99,0,1
33,ColorAssign,0,132,0,1
34,ColorAssign,0,155,0,1
35,ColorAssign,0,178,0,1
36,ColorAssign,0,262,0,1
37,ColorAssign,0,284,0,1
38,ColorAssign,0,286,0,1
39,ColorAssign,0,292,0,1
40,ColorAssign,0,307,0,1
41,ColorAssign,0,324,0,1
42,ColorAssign,0,336,0,1
43,ColorAssign,0,347,0,1
44,ColorAssign,0,352,0,1
45,ColorAssign,0,362,0,1
46,ColorAssign,0,423,0,1
47,ColorAssign,0,484,0,1
48,ColorAssign,0,491,0,1
49,ColorAssign,0,499,0,1
50,ColorAssign,7,2,1,0
51,ColorAssign,7,63,1,0
52,ColorAssign,7,70,1,0
53,ColorAssign,7,116,1,0
54,ColorAssign,7,123,1,0
55,ColorAssign,7,130,1,0
56,ColorAssign,7,198,1,0
57,ColorAssign,7,214,1,0
58,ColorAssign,7,271,1,0
59,ColorAssign,7,308,1,0
60,ColorAssign,7,313,1,0
61,ColorAssign,7,334,1,0
62,Conflict,7,377,1,1
