Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,363,0,1
2,ColorAssign,0,382,0,1
3,ColorAssign,0,414,0,1
4,ColorAssign,0,428,0,1
5,ColorAssign,0,11,0,1
6,ColorAssign,0,110,0,1
7,ColorAssign,0,132,0,1
8,ColorAssign,0,141,0,1
9,ColorAssign,0,405,0,1
10,ColorAssign,0,406,0,1
11,ColorAssign,363,81,1,0
12,ColorAssign,363,182,1,0
13,ColorAssign,363,6,1,0
14,ColorAssign,363,15,1,0
15,ColorAssign,363,34,1,0
16,ColorAssign,363,164,1,0
17,ColorAssign,363,225,1,0
18,ColorAssign,363,275,1,0
19,ColorAssign,363,433,1,0
20,ColorAssign,363,448,1,0
21,ColorAssign,363,490,1,0
22,ColorAssign,382,288,1,0
23,ColorAssign,382,376,1,0
24,ColorAssign,382,377,1,0
25,ColorAssign,382,430,1,0
26,ColorAssign,382,401,1,0
27,ColorAssign,382,441,1,0
28,ColorAssign,382,496,1,0
29,ColorAssign,414,145,1,0
30,ColorAssign,414,322,1,0
31,ColorAssign,414,116,1,0
32,ColorAssign,414,142,1,0
33,ColorAssign,414,212,1,0
34,ColorAssign,414,378,1,0
35,ColorAssign,414,409,1,0
36,ColorAssign,414,429,1,0
37,ColorAssign,414,461,1,0
38,ColorAssign,428,2,1,0
39,ColorAssign,428,260,1,0
40,ColorAssign,428,301,1,0
41,ColorAssign,428,123,1,0
42,ColorAssign,428,202,1,0
43,ColorAssign,428,250,1,0
44,ColorAssign,428,252,1,0
45,ColorAssign,428,437,1,0
46,ColorAssign,11,220,1,0
47,ColorAssign,11,235,1,0
48,ColorAssign,11,334,1,0
49,ColorAssign,11,404,1,0
50,ColorAssign,11,484,1,0
51,ColorAssign,11,38,1,0
52,ColorAssign,11,118,1,0
53,ColorAssign,11,152,1,0
54,ColorAssign,11,254,1,0
55,ColorAssign,11,325,1,0
56,ColorAssign,11,408,1,0
57,ColorAssign,11,483,1,0
58,ColorAssign,110,175,1,0
59,ColorAssign,110,241,1,0
60,ColorAssign,110,365,1,0
61,ColorAssign,110,366,1,0
62,ColorAssign,110,369,1,0
63,ColorAssign,110,280,1,0
64,ColorAssign,110,344,1,0
65,ColorAssign,110,421,1,0
66,ColorAssign,110,475,1,0
67,ColorAssign,132,114,1,0
68,ColorAssign,132,111,1,0
69,ColorAssign,132,137,1,0
70,ColorAssign,132,267,1,0
71,ColorAssign,132,289,1,0
72,ColorAssign,132,398,1,0
73,ColorAssign,132,403,1,0
74,ColorAssign,141,271,1,0
75,ColorAssign,141,308,1,0
76,ColorAssign,141,424,1,0
77,ColorAssign,405,97,1,0
78,ColorAssign,405,124,1,0
79,ColorAssign,405,276,1,0
80,ColorAssign,405,362,1,0
81,ColorAssign,405,54,1,0
82,ColorAssign,405,274,1,0
83,ColorAssign,405,292,1,0
84,ColorAssign,405,337,1,0
85,ColorAssign,405,368,1,0
86,ColorAssign,405,479,1,0
87,ColorAssign,405,413,1,0
88,ColorAssign,405,459,1,0
89,ColorAssign,406,242,1,0
90,ColorAssign,406,66,1,0
91,ColorAssign,81,42,0,1
92,ColorAssign,81,52,0,1
93,ColorAssign,81,163,0,1
94,ColorAssign,81,306,0,1
95,ColorAssign,81,332,0,1
96,ColorAssign,81,432,0,1
97,Conflict,81,490,0,0
