Iteration,Action,U,V,OldDist,NewDist
1,Relax,57,65,2147483647,5
1,Relax,57,99,2147483647,15
1,Relax,57,7,2147483647,7
1,Relax,57,14,2147483647,3
1,Relax,57,47,2147483647,7
1,Relax,57,79,2147483647,4
1,Relax,57,17,2147483647,13
1,Relax,57,18,2147483647,14
1,Relax,57,19,2147483647,6
1,Relax,57,51,2147483647,19
1,Relax,57,83,2147483647,6
1,Relax,57,23,2147483647,4
1,Relax,57,91,2147483647,18
1,Relax,57,28,2147483647,20
1,Relax,65,51,19,11
1,Relax,65,69,2147483647,25
1,Relax,65,42,2147483647,6
1,Relax,65,58,2147483647,14
1,Relax,65,43,2147483647,7
1,Relax,65,61,2147483647,10
1,Relax,69,66,2147483647,29
1,Relax,69,98,2147483647,35
1,Relax,69,68,2147483647,28
1,Relax,69,37,2147483647,33
1,Relax,69,74,2147483647,45
1,Relax,69,11,2147483647,40
1,Relax,69,75,2147483647,35
1,Relax,69,45,2147483647,42
1,Relax,69,26,2147483647,38
1,Relax,74,64,2147483647,49
1,Relax,74,36,2147483647,57
1,Relax,74,46,2147483647,49
1,Relax,74,94,2147483647,58
1,Relax,75,48,2147483647,46
1,Relax,75,32,2147483647,39
1,Relax,75,64,49,39
1,Relax,75,97,2147483647,36
1,Relax,75,6,2147483647,46
1,Relax,75,77,2147483647,45
1,Relax,75,78,2147483647,53
1,Relax,77,34,2147483647,48
1,Relax,77,36,57,55
1,Relax,77,70,2147483647,56
1,Relax,77,24,2147483647,49
1,Relax,77,60,2147483647,56
1,Relax,77,31,2147483647,58
1,Relax,78,67,2147483647,71
1,Relax,78,8,2147483647,63
1,Relax,78,25,2147483647,72
1,Relax,78,27,2147483647,73
1,Relax,78,12,2147483647,59
1,Relax,78,44,2147483647,67
1,Relax,79,35,2147483647,6
1,Relax,79,36,55,10
1,Relax,79,5,2147483647,15
1,Relax,79,21,2147483647,7
1,Relax,79,69,25,18
1,Relax,79,85,2147483647,8
1,Relax,79,24,49,9
1,Relax,79,74,45,8
1,Relax,79,77,45,7
1,Relax,79,30,2147483647,11
1,Relax,83,64,39,7
1,Relax,83,96,2147483647,24
1,Relax,83,82,2147483647,20
1,Relax,83,24,9,7
1,Relax,83,62,2147483647,15
1,Relax,83,94,58,24
1,Relax,85,96,24,15
1,Relax,85,33,2147483647,11
1,Relax,85,54,2147483647,11
1,Relax,91,16,2147483647,35
1,Relax,91,80,2147483647,24
1,Relax,91,84,2147483647,22
1,Relax,94,48,46,41
1,Relax,94,34,48,32
1,Relax,94,72,2147483647,36
1,Relax,96,97,36,32
1,Relax,96,2,2147483647,18
1,Relax,96,98,35,16
1,Relax,96,53,2147483647,34
1,Relax,96,6,46,28
1,Relax,96,59,2147483647,32
1,Relax,96,60,56,18
1,Relax,97,0,2147483647,41
1,Relax,97,67,71,34
1,Relax,97,75,35,33
1,Relax,97,44,67,37
1,Relax,97,52,2147483647,33
1,Relax,97,29,2147483647,51
1,Relax,98,32,39,33
1,Relax,98,49,2147483647,31
1,Relax,98,34,32,19
1,Relax,98,6,28,23
2,Relax,0,71,2147483647,46
2,Relax,0,87,2147483647,47
2,Relax,0,25,72,55
2,Relax,0,27,73,52
2,Relax,0,29,51,48
2,Relax,0,15,2147483647,57
2,Relax,2,56,2147483647,24
2,Relax,2,89,2147483647,29
2,Relax,2,31,58,36
2,Relax,2,95,2147483647,32
2,Relax,5,1,2147483647,29
2,Relax,5,68,28,19
2,Relax,5,53,34,22
2,Relax,5,70,56,30
2,Relax,5,87,47,20
2,Relax,5,72,36,33
2,Relax,5,73,2147483647,35
2,Relax,5,45,42,19
2,Relax,6,50,2147483647,40
2,Relax,6,55,2147483647,25
2,Relax,6,29,48,39
2,Relax,7,94,24,15
2,Relax,7,15,57,18
2,Relax,8,86,2147483647,80
2,Relax,8,9,2147483647,68
2,Relax,9,39,2147483647,86
2,Relax,14,68,19,15
2,Relax,14,88,2147483647,8
2,Relax,14,75,33,13
2,Relax,14,12,59,18
2,Relax,15,0,41,34
2,Relax,15,32,33,28
2,Relax,15,48,41,34
2,Relax,15,38,2147483647,26
2,Relax,15,11,40,21
2,Relax,15,92,2147483647,36
2,Relax,15,93,2147483647,34
2,Relax,15,31,36,24
2,Relax,16,41,2147483647,36
2,Relax,16,90,2147483647,41
2,Relax,17,97,32,22
2,Relax,17,90,41,23
2,Relax,17,27,52,27
2,Relax,17,93,34,28
2,Relax,17,63,2147483647,33
2,Relax,18,0,34,27
2,Relax,18,66,29,25
2,Relax,18,8,63,31
2,Relax,18,10,2147483647,15
2,Relax,18,81,2147483647,17
2,Relax,18,86,80,27
2,Relax,19,97,22,11
2,Relax,19,69,18,16
2,Relax,19,9,68,7
2,Relax,19,41,36,20
2,Relax,19,48,34,26
2,Relax,19,50,40,14
2,Relax,19,52,33,26
2,Relax,19,53,22,10
2,Relax,19,87,20,18
