Iteration,Action,U,V,OldDist,NewDist
1,Relax,178,131,2147483647,20
1,Relax,178,435,2147483647,12
1,Relax,178,215,2147483647,9
1,Relax,178,185,2147483647,12
1,Relax,178,365,2147483647,15
1,Relax,185,342,2147483647,18
1,Relax,185,136,2147483647,24
1,Relax,185,264,2147483647,22
1,Relax,185,328,2147483647,19
1,Relax,185,360,2147483647,23
1,Relax,185,137,2147483647,31
1,Relax,185,329,2147483647,16
1,Relax,185,42,2147483647,31
1,Relax,185,156,2147483647,27
1,Relax,185,381,2147483647,23
1,Relax,215,160,2147483647,21
1,Relax,215,147,2147483647,19
1,Relax,215,196,2147483647,26
1,Relax,215,117,2147483647,23
1,Relax,215,327,2147483647,26
1,Relax,215,395,2147483647,26
1,Relax,215,317,2147483647,12
1,Relax,215,190,2147483647,14
1,Relax,215,206,2147483647,11
1,Relax,264,65,2147483647,33
1,Relax,264,194,2147483647,27
1,Relax,264,132,2147483647,32
1,Relax,264,452,2147483647,38
1,Relax,264,165,2147483647,27
1,Relax,264,453,2147483647,41
1,Relax,264,78,2147483647,28
1,Relax,264,398,2147483647,42
1,Relax,264,16,2147483647,39
1,Relax,264,240,2147483647,35
1,Relax,264,241,2147483647,34
1,Relax,264,217,2147483647,35
1,Relax,264,283,2147483647,41
1,Relax,264,316,2147483647,31
1,Relax,283,81,2147483647,42
1,Relax,283,421,2147483647,57
1,Relax,283,485,2147483647,61
1,Relax,283,167,2147483647,59
1,Relax,283,183,2147483647,49
1,Relax,283,296,2147483647,47
1,Relax,283,378,2147483647,49
1,Relax,283,364,2147483647,55
1,Relax,283,284,2147483647,61
1,Relax,283,13,2147483647,45
1,Relax,283,15,2147483647,44
1,Relax,284,112,2147483647,76
1,Relax,284,83,2147483647,75
1,Relax,284,261,2147483647,63
1,Relax,284,341,2147483647,75
1,Relax,284,456,2147483647,68
1,Relax,284,219,2147483647,74
1,Relax,284,251,2147483647,68
1,Relax,296,98,2147483647,49
1,Relax,296,499,2147483647,50
1,Relax,316,368,2147483647,37
1,Relax,316,181,2147483647,41
1,Relax,316,359,2147483647,40
1,Relax,316,9,2147483647,45
1,Relax,316,61,2147483647,50
1,Relax,316,397,2147483647,37
1,Relax,316,207,2147483647,33
1,Relax,317,480,2147483647,28
1,Relax,317,290,2147483647,27
1,Relax,317,403,2147483647,17
1,Relax,317,89,2147483647,29
1,Relax,317,26,2147483647,18
1,Relax,317,350,2147483647,13
1,Relax,327,256,2147483647,33
1,Relax,327,448,2147483647,42
1,Relax,327,370,2147483647,40
1,Relax,327,84,2147483647,43
1,Relax,327,373,2147483647,44
1,Relax,327,377,2147483647,45
1,Relax,327,473,2147483647,28
1,Relax,327,61,50,33
1,Relax,327,253,2147483647,38
1,Relax,327,431,2147483647,38
1,Relax,328,224,2147483647,23
1,Relax,328,5,2147483647,33
1,Relax,328,389,2147483647,29
1,Relax,328,423,2147483647,34
1,Relax,328,458,2147483647,37
1,Relax,328,171,2147483647,22
1,Relax,328,268,2147483647,28
1,Relax,328,302,2147483647,23
1,Relax,328,238,2147483647,35
1,Relax,328,271,2147483647,24
1,Relax,328,144,2147483647,25
1,Relax,328,273,2147483647,38
1,Relax,328,497,2147483647,38
1,Relax,329,195,2147483647,22
1,Relax,329,291,2147483647,35
1,Relax,329,6,2147483647,33
1,Relax,329,299,2147483647,33
1,Relax,329,300,2147483647,26
1,Relax,329,269,2147483647,24
1,Relax,329,48,2147483647,21
1,Relax,329,368,37,22
1,Relax,329,87,2147483647,20
1,Relax,341,387,2147483647,84
1,Relax,341,366,2147483647,86
1,Relax,341,495,2147483647,79
1,Relax,341,114,2147483647,82
1,Relax,341,211,2147483647,81
1,Relax,341,407,2147483647,81
1,Relax,341,152,2147483647,80
1,Relax,341,408,2147483647,88
1,Relax,341,186,2147483647,90
1,Relax,341,413,2147483647,89
1,Relax,341,479,2147483647,84
1,Relax,342,241,34,28
1,Relax,342,289,2147483647,34
1,Relax,342,212,2147483647,28
1,Relax,342,405,2147483647,28
1,Relax,342,422,2147483647,33
1,Relax,342,216,2147483647,37
1,Relax,342,172,2147483647,35
1,Relax,342,285,2147483647,27
1,Relax,342,191,2147483647,34
1,Relax,350,432,2147483647,30
1,Relax,350,448,42,25
1,Relax,350,433,2147483647,27
1,Relax,350,98,49,14
1,Relax,350,115,2147483647,29
1,Relax,350,36,2147483647,24
1,Relax,350,456,68,26
1,Relax,350,361,2147483647,30
1,Relax,350,301,2147483647,26
1,Relax,350,415,2147483647,33
1,Relax,359,305,2147483647,49
1,Relax,359,321,2147483647,47
1,Relax,359,386,2147483647,42
1,Relax,359,83,75,53
1,Relax,359,102,2147483647,49
1,Relax,359,343,2147483647,58
1,Relax,359,314,2147483647,44
1,Relax,359,460,2147483647,46
1,Relax,359,29,2147483647,47
1,Relax,360,466,2147483647,41
1,Relax,360,67,2147483647,33
1,Relax,360,148,2147483647,26
1,Relax,360,169,2147483647,36
1,Relax,360,477,2147483647,24
1,Relax,361,208,2147483647,35
1,Relax,361,33,2147483647,41
1,Relax,361,323,2147483647,42
1,Relax,361,133,2147483647,36
1,Relax,361,310,2147483647,34
1,Relax,361,438,2147483647,50
1,Relax,361,106,2147483647,45
1,Relax,361,79,2147483647,33
1,Relax,364,225,2147483647,72
1,Relax,364,390,2147483647,57
1,Relax,364,407,81,73
1,Relax,364,58,2147483647,74
1,Relax,364,59,2147483647,73
1,Relax,364,221,2147483647,57
1,Relax,364,445,2147483647,61
1,Relax,364,382,2147483647,61
1,Relax,364,383,2147483647,71
1,Relax,365,323,42,18
1,Relax,365,297,2147483647,34
1,Relax,365,379,2147483647,24
1,Relax,366,162,2147483647,94
1,Relax,366,293,2147483647,102
1,Relax,366,346,2147483647,91
1,Relax,366,447,2147483647,95
1,Relax,368,86,2147483647,27
1,Relax,368,458,37,33
1,Relax,368,91,2147483647,42
1,Relax,368,235,2147483647,27
1,Relax,368,316,31,28
1,Relax,368,157,2147483647,36
1,Relax,370,114,82,42
1,Relax,370,418,2147483647,41
1,Relax,370,451,2147483647,41
1,Relax,370,135,2147483647,48
1,Relax,370,457,2147483647,60
1,Relax,370,430,2147483647,55
1,Relax,370,239,2147483647,48
1,Relax,373,146,2147483647,63
1,Relax,373,166,2147483647,50
1,Relax,373,439,2147483647,59
1,Relax,373,219,74,53
1,Relax,373,109,2147483647,61
1,Relax,377,2,2147483647,60
1,Relax,377,40,2147483647,54
1,Relax,377,363,2147483647,57
1,Relax,377,494,2147483647,59
1,Relax,377,371,2147483647,52
1,Relax,377,149,2147483647,50
1,Relax,377,186,90,53
1,Relax,377,476,2147483647,57
1,Relax,377,159,2147483647,61
1,Relax,378,71,2147483647,69
1,Relax,378,427,2147483647,66
1,Relax,378,380,2147483647,60
1,Relax,378,270,2147483647,56
1,Relax,378,142,2147483647,64
1,Relax,378,111,2147483647,56
1,Relax,379,227,2147483647,41
1,Relax,379,390,57,35
1,Relax,379,39,2147483647,41
1,Relax,379,427,66,34
1,Relax,380,288,2147483647,68
1,Relax,380,266,2147483647,72
1,Relax,380,12,2147483647,68
1,Relax,381,273,38,32
1,Relax,381,372,2147483647,27
1,Relax,381,37,2147483647,35
1,Relax,381,472,2147483647,28
1,Relax,381,363,57,29
1,Relax,382,352,2147483647,68
1,Relax,382,128,2147483647,76
1,Relax,382,44,2147483647,64
1,Relax,382,319,2147483647,79
1,Relax,383,337,2147483647,78
1,Relax,383,249,2147483647,90
1,Relax,383,330,2147483647,81
1,Relax,383,410,2147483647,73
1,Relax,383,347,2147483647,89
1,Relax,383,412,2147483647,81
1,Relax,383,93,2147483647,88
1,Relax,386,391,2147483647,62
1,Relax,386,345,2147483647,51
1,Relax,386,298,2147483647,49
1,Relax,386,205,2147483647,45
1,Relax,386,110,2147483647,55
1,Relax,386,366,86,45
1,Relax,387,324,2147483647,98
1,Relax,387,278,2147483647,87
1,Relax,387,375,2147483647,96
1,Relax,387,139,2147483647,95
1,Relax,387,475,2147483647,99
1,Relax,387,411,2147483647,91
1,Relax,387,396,2147483647,86
1,Relax,387,493,2147483647,99
1,Relax,389,336,2147483647,41
1,Relax,389,167,59,43
1,Relax,389,311,2147483647,33
1,Relax,390,482,2147483647,48
1,Relax,390,3,2147483647,44
1,Relax,390,279,2147483647,36
1,Relax,390,362,2147483647,44
1,Relax,390,43,2147483647,48
1,Relax,390,364,55,37
1,Relax,390,12,68,41
1,Relax,390,126,2147483647,52
1,Relax,390,382,61,52
1,Relax,391,80,2147483647,68
1,Relax,391,340,2147483647,75
1,Relax,391,21,2147483647,63
1,Relax,391,454,2147483647,68
1,Relax,391,188,2147483647,67
1,Relax,391,237,2147483647,68
1,Relax,391,46,2147483647,70
1,Relax,395,0,2147483647,31
1,Relax,395,193,2147483647,45
1,Relax,395,99,2147483647,35
1,Relax,395,202,2147483647,31
1,Relax,395,108,2147483647,34
1,Relax,395,272,2147483647,31
1,Relax,395,209,2147483647,43
1,Relax,395,183,49,28
1,Relax,395,24,2147483647,34
1,Relax,395,409,2147483647,44
1,Relax,396,281,2147483647,95
1,Relax,396,74,2147483647,100
1,Relax,396,333,2147483647,87
1,Relax,396,14,2147483647,88
1,Relax,397,176,2147483647,56
1,Relax,397,406,2147483647,52
1,Relax,397,454,68,45
1,Relax,397,168,2147483647,41
1,Relax,397,252,2147483647,50
1,Relax,397,367,2147483647,54
1,Relax,398,498,2147483647,43
1,Relax,398,149,50,49
1,Relax,398,344,2147483647,58
1,Relax,398,414,2147483647,59
1,Relax,403,304,2147483647,19
1,Relax,403,81,42,21
1,Relax,403,371,52,29
1,Relax,403,102,49,28
1,Relax,403,358,2147483647,34
1,Relax,403,217,35,29
1,Relax,403,426,2147483647,24
1,Relax,403,476,57,18
1,Relax,403,158,2147483647,28
1,Relax,403,366,45,31
1,Relax,405,82,2147483647,43
1,Relax,405,265,2147483647,31
1,Relax,405,380,60,29
1,Relax,405,237,68,45
1,Relax,405,367,54,48
1,Relax,405,399,2147483647,39
1,Relax,405,495,79,44
1,Relax,406,417,2147483647,65
1,Relax,406,226,2147483647,53
1,Relax,406,163,2147483647,68
1,Relax,406,260,2147483647,71
1,Relax,406,489,2147483647,70
1,Relax,406,141,2147483647,57
