Step,Action,Node,QueueState,VisitedSet
0,EnqueueStart,18,[18],[18]
1,Dequeue,18,[],[18]
2,Enqueue,5,[5],"[18, 5]"
3,Enqueue,40,"[5, 40]","[18, 5, 40]"
4,Enqueue,94,"[5, 40, 94]","[18, 5, 40, 94]"
5,Enqueue,76,"[5, 40, 94, 76]","[18, 5, 40, 76, 94]"
6,Dequeue,5,"[40, 94, 76]","[18, 5, 40, 76, 94]"
7,Enqueue,26,"[40, 94, 76, 26]","[18, 5, 40, 26, 76, 94]"
8,Dequeue,40,"[94, 76, 26]","[18, 5, 40, 26, 76, 94]"
9,Enqueue,12,"[94, 76, 26, 12]","[18, 5, 40, 26, 76, 12, 94]"
10,Enqueue,58,"[94, 76, 26, 12, 58]","[18, 5, 40, 26, 58, 76, 12, 94]"
11,Enqueue,74,"[94, 76, 26, 12, 58, 74]","[18, 5, 40, 26, 58, 74, 76, 12, 94]"
12,Enqueue,93,"[94, 76, 26, 12, 58, 74, 93]","[18, 5, 40, 26, 58, 74, 76, 12, 93, 94]"
13,Dequeue,94,"[76, 26, 12, 58, 74, 93]","[18, 5, 40, 26, 58, 74, 76, 12, 93, 94]"
14,Enqueue,30,"[76, 26, 12, 58, 74, 93, 30]","[18, 5, 40, 26, 58, 74, 76, 12, 93, 94, 30]"
15,Dequeue,76,"[26, 12, 58, 74, 93, 30]","[18, 5, 40, 26, 58, 74, 76, 12, 93, 94, 30]"
16,Enqueue,39,"[26, 12, 58, 74, 93, 30, 39]","[18, 5, 39, 40, 26, 58, 74, 76, 12, 93, 94, 30]"
17,Enqueue,46,"[26, 12, 58, 74, 93, 30, 39, 46]","[5, 39, 40, 74, 76, 12, 46, 18, 26, 58, 93, 94, 30]"
18,Dequeue,26,"[12, 58, 74, 93, 30, 39, 46]","[5, 39, 40, 74, 76, 12, 46, 18, 26, 58, 93, 94, 30]"
19,Enqueue,36,"[12, 58, 74, 93, 30, 39, 46, 36]","[36, 5, 39, 40, 74, 76, 12, 46, 18, 26, 58, 93, 94, 30]"
20,Enqueue,92,"[12, 58, 74, 93, 30, 39, 46, 36, 92]","[36, 5, 39, 40, 74, 76, 12, 46, 18, 26, 58, 92, 93, 94, 30]"
21,Dequeue,12,"[58, 74, 93, 30, 39, 46, 36, 92]","[36, 5, 39, 40, 74, 76, 12, 46, 18, 26, 58, 92, 93, 94, 30]"
22,Enqueue,77,"[58, 74, 93, 30, 39, 46, 36, 92, 77]","[36, 5, 39, 40, 74, 76, 12, 77, 46, 18, 26, 58, 92, 93, 94, 30]"
23,Dequeue,58,"[74, 93, 30, 39, 46, 36, 92, 77]","[36, 5, 39, 40, 74, 76, 12, 77, 46, 18, 26, 58, 92, 93, 94, 30]"
24,Enqueue,41,"[74, 93, 30, 39, 46, 36, 92, 77, 41]","[36, 5, 39, 40, 41, 74, 76, 12, 77, 46, 18, 26, 58, 92, 93, 94, 30]"
25,Dequeue,74,"[93, 30, 39, 46, 36, 92, 77, 41]","[36, 5, 39, 40, 41, 74, 76, 12, 77, 46, 18, 26, 58, 92, 93, 94, 30]"
26,Enqueue,42,"[93, 30, 39, 46, 36, 92, 77, 41, 42]","[36, 5, 39, 40, 41, 74, 42, 76, 12, 77, 46, 18, 26, 58, 92, 93, 94, 30]"
27,Enqueue,56,"[93, 30, 39, 46, 36, 92, 77, 41, 42, 56]","[36, 5, 39, 40, 41, 74, 42, 76, 12, 77, 46, 18, 56, 26, 58, 92, 93, 94, 30]"
28,Enqueue,17,"[93, 30, 39, 46, 36, 92, 77, 41, 42, 56, 17]","[36, 5, 39, 40, 41, 74, 42, 76, 12, 77, 46, 17, 18, 56, 26, 58, 92, 93, 94, 30]"
29,Enqueue,86,"[93, 30, 39, 46, 36, 92, 77, 41, 42, 56, 17, 86]","[36, 5, 39, 40, 41, 74, 42, 76, 12, 77, 46, 17, 18, 86, 56, 26, 58, 92, 93, 94, 30]"
30,Dequeue,93,"[30, 39, 46, 36, 92, 77, 41, 42, 56, 17, 86]","[36, 5, 39, 40, 41, 74, 42, 76, 12, 77, 46, 17, 18, 86, 56, 26, 58, 92, 93, 94, 30]"
31,Dequeue,30,"[39, 46, 36, 92, 77, 41, 42, 56, 17, 86]","[36, 5, 39, 40, 41, 74, 42, 76, 12, 77, 46, 17, 18, 86, 56, 26, 58, 92, 93, 94, 30]"
32,Enqueue,10,"[39, 46, 36, 92, 77, 41, 42, 56, 17, 86, 10]","[36, 5, 39, 40, 41, 74, 42, 10, 76, 12, 77, 46, 17, 18, 86, 56, 26, 58, 92, 93, 94, 30]"
33,Enqueue,27,"[39, 46, 36, 92, 77, 41, 42, 56, 17, 86, 10, 27]","[36, 5, 39, 40, 41, 74, 42, 10, 76, 12, 77, 46, 17, 18, 86, 56, 26, 58, 27, 92, 93, 94, 30]"
34,Dequeue,39,"[46, 36, 92, 77, 41, 42, 56, 17, 86, 10, 27]","[36, 5, 39, 40, 41, 74, 42, 10, 76, 12, 77, 46, 17, 18, 86, 56, 26, 58, 27, 92, 93, 94, 30]"
35,Enqueue,99,"[46, 36, 92, 77, 41, 42, 56, 17, 86, 10, 27, 99]","[99, 36, 5, 39, 40, 41, 74, 42, 10, 76, 12, 77, 46, 17, 18, 86, 56, 26, 58, 27, 92, 93, 94, 30]"
36,Dequeue,46,"[36, 92, 77, 41, 42, 56, 17, 86, 10, 27, 99]","[99, 36, 5, 39, 40, 41, 74, 42, 10, 76, 12, 77, 46, 17, 18, 86, 56, 26, 58, 27, 92, 93, 94, 30]"
37,Enqueue,19,"[36, 92, 77, 41, 42, 56, 17, 86, 10, 27, 99, 19]","[5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 99, 36, 39, 40, 41, 42, 46, 56, 58]"
38,Dequeue,36,"[92, 77, 41, 42, 56, 17, 86, 10, 27, 99, 19]","[5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 99, 36, 39, 40, 41, 42, 46, 56, 58]"
39,Dequeue,92,"[77, 41, 42, 56, 17, 86, 10, 27, 99, 19]","[5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 99, 36, 39, 40, 41, 42, 46, 56, 58]"
40,Enqueue,62,"[77, 41, 42, 56, 17, 86, 10, 27, 99, 19, 62]","[5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 99, 36, 39, 40, 41, 42, 46, 56, 58, 62]"
41,Enqueue,95,"[77, 41, 42, 56, 17, 86, 10, 27, 99, 19, 62, 95]","[5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 56, 58, 62]"
42,Dequeue,77,"[41, 42, 56, 17, 86, 10, 27, 99, 19, 62, 95]","[5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 56, 58, 62]"
43,Enqueue,0,"[41, 42, 56, 17, 86, 10, 27, 99, 19, 62, 95, 0]","[0, 5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 56, 58, 62]"
44,Dequeue,41,"[42, 56, 17, 86, 10, 27, 99, 19, 62, 95, 0]","[0, 5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 56, 58, 62]"
45,Enqueue,48,"[42, 56, 17, 86, 10, 27, 99, 19, 62, 95, 0, 48]","[0, 5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 48, 56, 58, 62]"
46,Dequeue,42,"[56, 17, 86, 10, 27, 99, 19, 62, 95, 0, 48]","[0, 5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 48, 56, 58, 62]"
47,Enqueue,53,"[56, 17, 86, 10, 27, 99, 19, 62, 95, 0, 48, 53]","[0, 5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 62]"
48,Dequeue,56,"[17, 86, 10, 27, 99, 19, 62, 95, 0, 48, 53]","[0, 5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 62]"
49,Enqueue,59,"[17, 86, 10, 27, 99, 19, 62, 95, 0, 48, 53, 59]","[0, 5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 59, 62]"
50,Dequeue,17,"[86, 10, 27, 99, 19, 62, 95, 0, 48, 53, 59]","[0, 5, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 59, 62]"
51,Enqueue,73,"[86, 10, 27, 99, 19, 62, 95, 0, 48, 53, 59, 73]","[0, 5, 73, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 59, 62]"
52,Dequeue,86,"[10, 27, 99, 19, 62, 95, 0, 48, 53, 59, 73]","[0, 5, 73, 74, 10, 76, 12, 77, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 59, 62]"
53,Enqueue,14,"[10, 27, 99, 19, 62, 95, 0, 48, 53, 59, 73, 14]","[0, 5, 73, 74, 10, 76, 12, 77, 14, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 59, 62]"
54,Dequeue,10,"[27, 99, 19, 62, 95, 0, 48, 53, 59, 73, 14]","[0, 5, 73, 74, 10, 76, 12, 77, 14, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 59, 62]"
55,Enqueue,97,"[27, 99, 19, 62, 95, 0, 48, 53, 59, 73, 14, 97]","[0, 5, 73, 74, 10, 76, 12, 77, 14, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 97, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 59, 62]"
56,Dequeue,27,"[99, 19, 62, 95, 0, 48, 53, 59, 73, 14, 97]","[0, 5, 73, 74, 10, 76, 12, 77, 14, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 97, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 59, 62]"
57,Dequeue,99,"[19, 62, 95, 0, 48, 53, 59, 73, 14, 97]","[0, 5, 73, 74, 10, 76, 12, 77, 14, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 97, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 59, 62]"
58,Enqueue,96,"[19, 62, 95, 0, 48, 53, 59, 73, 14, 97, 96]","[0, 5, 73, 74, 10, 76, 12, 77, 14, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 96, 97, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 59, 62]"
59,Dequeue,19,"[62, 95, 0, 48, 53, 59, 73, 14, 97, 96]","[0, 5, 73, 74, 10, 76, 12, 77, 14, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 96, 97, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 59, 62]"
60,Dequeue,62,"[95, 0, 48, 53, 59, 73, 14, 97, 96]","[0, 5, 73, 74, 10, 76, 12, 77, 14, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 96, 97, 99, 36, 39, 40, 41, 42, 46, 48, 53, 56, 58, 59, 62]"
61,Enqueue,45,"[95, 0, 48, 53, 59, 73, 14, 97, 96, 45]","[0, 5, 73, 74, 10, 76, 12, 77, 14, 17, 18, 19, 86, 26, 27, 92, 93, 94, 30, 95, 96, 97, 99, 36, 39, 40, 41, 42, 45, 46, 48, 53, 56, 58, 59, 62]"
