Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,7,0,1
2,ColorAssign,0,27,0,1
3,ColorAssign,0,77,0,1
4,ColorAssign,0,80,0,1
5,ColorAssign,0,81,0,1
6,ColorAssign,0,2,0,1
7,ColorAssign,0,46,0,1
8,ColorAssign,0,82,0,1
9,ColorAssign,0,97,0,1
10,ColorAssign,7,23,1,0
11,ColorAssign,7,26,1,0
12,ColorAssign,7,61,1,0
13,ColorAssign,7,48,1,0
14,ColorAssign,7,51,1,0
15,ColorAssign,7,65,1,0
16,ColorAssign,27,8,1,0
17,ColorAssign,27,17,1,0
18,ColorAssign,27,20,1,0
19,ColorAssign,27,10,1,0
20,ColorAssign,27,30,1,0
21,ColorAssign,27,35,1,0
22,ColorAssign,27,92,1,0
23,ColorAssign,27,34,1,0
24,ColorAssign,27,37,1,0
25,ColorAssign,27,57,1,0
26,ColorAssign,77,12,1,0
27,ColorAssign,77,42,1,0
28,ColorAssign,77,45,1,0
29,Conflict,77,97,1,1
