Algorithm,Directed,Nodes,Edges,Seed,Run,StartNode,RuntimeMs,MemoryBeforeKB,MemoryAfterKB,MemoryDeltaKB,Visited
MaxFlow_EdmondsKarp,false,500,47058,1337,1,1,19.191917,4451,9412,4961,779
MaxFlow_EdmondsKarp,false,500,47058,1337,2,251,17.154917,4451,9193,4742,734
BFS,false,500,50164,2024,1,42,14.110125,4448,25488,21040,500
BFS,false,500,50164,2024,2,471,15.257208,4448,25490,21042,500
DFS,false,500,50164,2024,1,271,7705.864833,4448,91442,86994,500
DFS,false,500,50164,2024,2,336,7738.208667,4448,28550,24102,500
BipartiteCheck,false,500,50164,2024,1,191,0.24275,4448,4672,224,2
BipartiteCheck,false,500,50164,2024,2,89,0.15525,4448,4672,224,2
Dijkstra,false,500,47090,2024,1,250,8.402167,4448,7520,3072,500
Dijkstra,false,500,47090,2024,2,170,2.496583,4456,7528,3072,500
BellmanFord,false,500,47090,2024,1,41,11.581292,4456,14570,10114,2000
BellmanFord,false,500,47090,2024,2,304,7.054,4456,13672,9216,2000
AStar,false,500,47090,2024,1,470,0.868542,4456,5344,888,12
AStar,false,500,47090,2024,2,167,1.375083,4456,5701,1245,31
MaxFlow_EdmondsKarp,false,500,47090,2024,1,257,8.660542,4456,8773,4317,664
MaxFlow_EdmondsKarp,false,500,47090,2024,2,257,8.623791,4456,8773,4317,664
